#,category,AleSmith_Brewing_Co.,Alpine_Beer_Co.,BNS_Brewing_&_Distilling_Co.,Bagby_Beer_Co.,Ballast_Point_Brewing_&_Spirits_-_Scripps_Ranch,Ballast_Point_Brewing_Co,Ballast_Point_Brewing_Co.,Ballast_Point_Brewing_Co._-_Home_Brew_Mart,Benchmark_Brewing_Co.,Breakwater_Brewing_Co.,Brit_Antrim_Benefit_Beer_Pizza_Port_Ocean_Beach,Burgeon_Beer_Co.,Coronado_Brewing_Company_Brewpub,Culture_Brewing_Co.,Duck_Foot_Brewing_Co.,Eppig_Brewing,Green_Flash_Brewing_Co.,Groundswell_Brewing_Co.,Home_Brewing_Co.,Karl_Strauss_Brewing_Co.,Karl_Strauss_Brewing_Co._-_Carlsbad,Karl_Strauss_Brewing_Co._-_La_Jolla,Karl_Strauss_Brewing_Co._-_San_Diego,Kilowatt_Brewing,Monkey_Paw_Brewing,Monkey_Paw_Brewing_Co.,Mother_Earth_Brew_Co.,New_English_Brewing_Co.,North_Park_Beer_Co.,OB_Brewery,Ocean_Beach_Brewery,Oceanside_Ale_Works,Pizza_Port_Bressi_Ranch,Pizza_Port_Carlsbad,Pizza_Port_Ocean_Beach,Pizza_Port_Solana_Beach,Port_Brewing_Co.,Port_Brewing_Co._/_The_Lost_Abbey,Pure_Project,Rip_Current_Brewery,Rock_Bottom_Brewery_-_La_Jolla,Saint_Archer_Brewing_Co.,Second_Chance_Beer_Co.,Societe_Brewing_Co.,South_Park_Brewing_-_CA,SouthNorte_Beer_Co.,Stone_Brewing_Co.,Stone_Brewing_World_Bistro_&_Gardens_-_Liberty_Station,The_Beer_Co.,The_Lost_Abbey,URBN_St._Brewing_Co.
54,Out_of_Category_-_Traditionally_Brewed_Beer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Robust_Porter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
56,Rye_Beer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Scotch_Ale,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,Session_Beer,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Session_India_Pale_Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
60,South_German_Style_Hefeweizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Specialty_Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,Sweet_Stout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Wood__and_Barrel_Aged_Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Wood__and_Barrel_Aged_Sour_Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
65,Wood__and_Barrel_Aged_Strong_Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,Wood__and_Barrel_Aged_Strong_Stout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
