,Medal,Beer Name,Brewery,City,State,County,Category,Year
2490,Bronze,Barrel Aged Naked Evil BBW,Hoppin' Frog Brewing Co.,Akron,OH,Summit,Wood- and Barrel-Aged Strong Beer,2011
2491,Gold,Bourbon Murder,Deschutes Brewery,Bend,OR,Deschutes,Wood- and Barrel-Aged Strong Stout,2011
2492,Silver,2010 Bourbon Barrel Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,NC,Forsyth,Wood- and Barrel-Aged Strong Stout,2011
2493,Bronze,Grand Inquisitor,Iron Hill Brewery & Restaurant,Wilmington,DE,New Castle,Wood- and Barrel-Aged Strong Stout,2011
2494,Gold,John Barleycorn Barleywine '06,Mad River Brewing Co.,Blue Lake,CA,Humboldt,Aged Beer,2010
2495,Silver,Cherry Baltic,Bend Brewing Co.,Bend,OR,Deschutes,Aged Beer,2010
2496,Bronze,"Bell's Expedition Stout, 1995","Bell's Brewery, Inc",Galesburg,MI,Kalamazoo,Aged Beer,2010
2497,Gold,Ryevalry,Bear Republic Factory Five,Cloverdale,CA,Sonoma,American-Belgo-Style Ale,2010
2498,Silver,Simcoe Silly,Kuhnhenn Brewing Co.,Warren,MI,Macomb,American-Belgo-Style Ale,2010
2499,Bronze,Pete's Support Belgian IPA,FireHouse Grill & Brewery,Sunnyvale,CA,Santa Clara,American-Belgo-Style Ale,2010
2500,Gold,Manana,Del Norte Brewing Co.,Denver,CO,Denver,American-Style Amber Lager,2010
2501,Silver,Schell's Oktoberfest,August Schell Brewing Co.,New Ulm,MN,Brown,American-Style Amber Lager,2010
2502,Bronze,Foothills Oktoberfest,Foothills Brewing,Winston-Salem,NC,Forsyth,American-Style Amber Lager,2010
2503,Gold,Red Nectar,Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,American-Style Amber/Red Ale,2010
2504,Silver,Hop Back Amber Ale,Tröegs Brewing Co.,Harrisburg,PA,Dauphin,American-Style Amber/Red Ale,2010
2505,Bronze,Red Rock,Triple Rock Brewery and Alehouse,Berkeley,CA,Alameda,American-Style Amber/Red Ale,2010
2506,Gold,Sweet Josie,LoneRider Brewing Co.,Raleigh,NC,Wake,American-Style Brown Ale,2010
2507,Silver,Redrock Nut Brown Ale,Redrock Brewing Co.,Salt Lake City,UT,Salt Lake,American-Style Brown Ale,2010
2508,Bronze,American Brown Ale,Big Rock Chop House & Brewery,Birmingham,MI,Oakland,American-Style Brown Ale,2010
2509,Gold,Michelob AmberBock,Michelob Brewing Co.,St. Louis,MO,NOT KNOWN,American-Style Dark Lager,2010
2510,Bronze,Schwarzbier,AC Golden Brewing Co.,Golden,CO,Jefferson,American-Style Dark Lager,2010
2511,Gold,Turmoil,Barley Brown's Brew Pub,Baker City,OR,Baker,American-Style India Black Ale,2010
2512,Silver,Go Figure,Big Rock Chop House & Brewery,Birmingham,MI,Oakland,American-Style India Black Ale,2010
2513,Bronze,Stone Sublimely Self-Righteous Ale,Stone Brewing Co.,Escondido,CA,San Diego,American-Style India Black Ale,2010
2514,Gold,"""Pseudo"" IPA",Pizza Port - San Clemente,San Clemente,CA,Orange,American-Style India Pale Ale,2010
2515,Silver,Head Hunter IPA,Fat Head's Brewery & Saloon,North Olmsted,OH,Cuyahoga,American-Style India Pale Ale,2010
2516,Bronze,Lumberyard Extra IPA,Lumberyard Brewing Co.,Flagstaff,AZ,Coconino,American-Style India Pale Ale,2010
2517,Gold,Miller Lite,Miller Brewing Co.,Milwaukee,WI,Milwaukee,American-Style Lager or Light Lager,2010
2518,Silver,Old Milwaukee,Pabst Brewing Co.,Woodridge,IL,DuPage,American-Style Lager or Light Lager,2010
2519,Bronze,Miller Genuine Draft,Miller Brewing Co.,Milwaukee,WI,Milwaukee,American-Style Lager or Light Lager,2010
2520,Gold,Gold Leaf Lager,Devils Backbone Brewing Co.,Roseland,VA,NOT KNOWN,American-Style or International-Style Pilsener,2010
2521,Silver,Random Luck,SandLot (The),Denver,CO,Denver,American-Style or International-Style Pilsener,2010
2522,Bronze,Gold Country Pilsner,Auburn Alehouse,Auburn,CA,Placer,American-Style or International-Style Pilsener,2010
2523,Gold,Mission Street Pale,Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,American-Style Pale Ale,2010
2524,Silver,Pale 31,Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,American-Style Pale Ale,2010
2525,Bronze,Puddle Jumper Pale Ale,Third Street AleWorks,Santa Rosa,CA,Sonoma,American-Style Pale Ale,2010
2526,Gold,Brute,Ithaca Beer Co.,Ithaca,NY,Tompkins,American-Style Sour Ale,2010
2527,Silver,Eric's Ale,New Belgium Brewing Co.,Fort Collins,CO,Larimer,American-Style Sour Ale,2010
2528,Bronze,Red Poppy,Lost Abbey (The),San Marcos,CA,San Diego,American-Style Sour Ale,2010
2529,Gold,Hamm's,Miller Brewing Co.,Milwaukee,WI,Milwaukee,American-Style Specialty Lager or Cream Ale or Lager,2010
2530,Silver,Rainier,Pabst Brewing Co.,Woodridge,IL,DuPage,American-Style Specialty Lager or Cream Ale or Lager,2010
2531,Bronze,Old Style,Pabst Brewing Co.,Woodridge,IL,DuPage,American-Style Specialty Lager or Cream Ale or Lager,2010
2532,Gold,Liberty Stout,Gella's Diner and Lb. Brewing Co.,Hays,KS,Ellis,American-Style Stout,2010
2533,Silver,Disorder Stout,Barley Brown's Brew Pub,Baker City,OR,Baker,American-Style Stout,2010
2534,Bronze,Shakespeare Oatmeal Stout,Rogue Ales,Newport,OR,Lincoln,American-Style Stout,2010
2535,Gold,Himalayan IPA,Yak and Yeti Brewpub,Arvada,CO,Jefferson,American-Style Strong Pale Ale,2010
2536,Silver,IPA Nectar,Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,American-Style Strong Pale Ale,2010
2537,Bronze,7 - Fity,Triple Rock Brewery and Alehouse,Berkeley,CA,Alameda,American-Style Strong Pale Ale,2010
2538,Gold,Sandy Bottom,Blue Mountain Brewery,Afton,VA,NOT KNOWN,American-Style Wheat Beer,2010
2539,Silver,Shredders Wheat,Barley Brown's Brew Pub,Baker City,OR,Baker,American-Style Wheat Beer,2010
2540,Bronze,County Seat Wheat,Blind Tiger Brewery & Restaurant,Topeka,KS,Shawnee,American-Style Wheat Beer,2010
2541,Gold,Point Horizon Wheat,Stevens Point Brewery,Stevens Point,WI,Portage,American-Style Wheat Beer With Yeast,2010
2542,Silver,American Hefeweizen,Flat Branch Pub and Brewery,Columbia,MO,Boone,American-Style Wheat Beer With Yeast,2010
2543,Bronze,Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,Multnomah,American-Style Wheat Beer With Yeast,2010
2544,Gold,3 Dog Night,Chama River Brewing Co.,Albuquerque,NM,Bernalillo,Baltic-Style Porter,2010
2545,Silver,Collaborative Evil - Triple Rock,Triple Rock Brewery and Alehouse,Berkeley,CA,Alameda,Baltic-Style Porter,2010
2546,Bronze,Reverend Potter's Baltic Porter,Prodigal Brewery (The),Effingham,NH,NOT KNOWN,Baltic-Style Porter,2010
2547,Gold,Flying Mouflan,Tröegs Brewing Co.,Harrisburg,PA,Dauphin,Barley Wine-Style Ale,2010
2548,Silver,Old #23 Barley Wine,Bristol Brewing Co.,Colorado Springs,CO,El Paso,Barley Wine-Style Ale,2010
2549,Bronze,Jack Hammer,Brew Kettle Production Works (The),Strongsville,OH,Cuyahoga,Barley Wine-Style Ale,2010
2550,Gold,Allagash Blonde,Allagash Brewing Co.,Portland,ME,Cumberland,Belgian- and French-Style Ale,2010
2551,Silver,Bastogne Blonde Ale,Rock Bottom Breweries,Louisville,CO,Boulder,Belgian- and French-Style Ale,2010
2552,Bronze,Domaine DuPage,Two Brothers Brewing Co.,Warrenville,IL,DuPage,Belgian- and French-Style Ale,2010
2553,Gold,Nectar Des Dieux,Bastone Brewery,Royal Oak,MI,Oakland,Belgian-Style Abbey Ale,2010
2554,Silver,Golden Slumber,Sun King Brewing Co.,Indianapolis,IN,Marion,Belgian-Style Abbey Ale,2010
2555,Bronze,Three Philosophers,Brewery Ommegang,Cooperstown,NY,Otsego,Belgian-Style Abbey Ale,2010
2556,Gold,Oude Tart,Bruery (The),Placentia,CA,Orange,Belgian-Style Lambic or Sour Ale,2010
2557,Silver,Coolship Resurgam,Allagash Brewing Co.,Portland,ME,Cumberland,Belgian-Style Lambic or Sour Ale,2010
2558,Bronze,Le Serpent,Snake River Brewing Co.,Jackson,WY,Teton,Belgian-Style Lambic or Sour Ale,2010
2559,Gold,Revelations,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,Belgian-Style Strong Specialty Ale,2010
2560,Silver,Brother Davids Double,Anderson Valley Brewing Co.,Boonville,CA,Mendocino,Belgian-Style Strong Specialty Ale,2010
2561,Bronze,Hells Keep,Utah Brewers Cooperative,Salt Lake City,UT,Salt Lake,Belgian-Style Strong Specialty Ale,2010
2562,Gold,TAPS Belgian White,TAPS Fish House & Brewery,Brea,CA,Orange,Belgian-Style Witbier,2010
2563,Silver,Whale Tail Wit,Dry Dock Brewing Co.,Aurora,CO,Adams,Belgian-Style Witbier,2010
2564,Bronze,Allagash White,Allagash Brewing Co.,Portland,ME,Cumberland,Belgian-Style Witbier,2010
2565,Gold,Hellats Good Beer,Pug Ryan's Brewery,Dillon,CO,Summit,Bock,2010
2566,Silver,Troegenator,Tröegs Brewing Co.,Harrisburg,PA,Dauphin,Bock,2010
2567,Bronze,Maibock,Ram Restaurant & Brewery - Salem,Salem,OR,Marion,Bock,2010
2568,Gold,Boathouse Pilsner,Titletown Brewing Co.,Green Bay,WI,Brown,Bohemian-Style Pilsener,2010
2569,Silver,Golden Pilsner,Morgan Street Brewery,St. Louis,MO,NOT KNOWN,Bohemian-Style Pilsener,2010
2570,Bronze,Bridge Creek Pilsner,Silver Moon Brewing,Bend,OR,Deschutes,Bohemian-Style Pilsener,2010
2571,Gold,Total Disorder Porter,Ram Production Brewery,Tacoma,WA,Pierce,Brown Porter,2010
2572,Silver,St. Charles Porter,Blackstone Brewing Co.,Nashville,TN,Davidson,Brown Porter,2010
2573,Bronze,Pullman Brown,Flossmoor Station Brewing Co.,Flossmoor,IL,Cook,Brown Porter,2010
2574,Gold,Mirror Pond Pale Ale,Deschutes Brewery,Bend,OR,Deschutes,Classic English-Style Pale Ale,2010
2575,Silver,Summit Extra Pale Ale,Summit Brewing Co.,Saint Paul,MN,Ramsey,Classic English-Style Pale Ale,2010
2576,Bronze,Ska Special,Ska Brewing Co.,Durango,CO,La Plata,Classic English-Style Pale Ale,2010
2577,Gold,Hyde Park Stout,Augusta Brewing Co.,Washington,MO,Franklin,Classic Irish-Style Dry Stout,2010
2578,Silver,McLuhr's Irish Stout,Dillon DAM Brewery,Dillon,CO,Summit,Classic Irish-Style Dry Stout,2010
2579,Bronze,Port Truck Stout,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,Classic Irish-Style Dry Stout,2010
2580,Gold,Baltic Coffee,Devils Backbone Brewing Co.,Roseland,VA,NOT KNOWN,Coffee Flavored Beer,2010
2581,Silver,Coffee Monster,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,Coffee Flavored Beer,2010
2582,Bronze,Big Shot Espresso Stout,Twisted Pine Brewing Co.,Boulder,CO,Boulder,Coffee Flavored Beer,2010
2583,Gold,Summerbrau,Utah Brewers Cooperative,Salt Lake City,UT,Salt Lake,Dortmunder or German-Style Oktoberfest,2010
2584,Silver,Noble Stuff Export,Dry Dock Brewing Co.,Aurora,CO,Adams,Dortmunder or German-Style Oktoberfest,2010
2585,Bronze,Rolling Thunder Dortmunder,Snake River Brewing Co.,Jackson,WY,Teton,Dortmunder or German-Style Oktoberfest,2010
2586,Gold,Old Elk Brown Ale,Rock Bottom Breweries,Louisville,CO,Boulder,English-Style Brown Ale,2010
2587,Silver,Good Grief Brown,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,English-Style Brown Ale,2010
2588,Bronze,Eclipse Brown Ale,Equinox Brewing Co.,Fort Collins,CO,Larimer,English-Style Brown Ale,2010
2589,Gold,Beech Street Bitter,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,English-Style India Pale Ale,2010
2590,Silver,Illusion Dweller,Mountain Sun Pub and Brewery,Boulder,CO,Boulder,English-Style India Pale Ale,2010
2591,Bronze,Samuel Adams Latitude 48,Boston Beer Co.,Boston,MA,Suffolk,English-Style India Pale Ale,2010
2592,Gold,Business Time Mild,Boulder Beer Co.,Boulder,CO,Boulder,English-Style Mild Ale,2010
2593,Silver,Skidmark Brown,Pizza Port - Ocean Beach,San Diego,CA,San Diego,English-Style Mild Ale,2010
2594,Bronze,Ale of Fergus,Devils Backbone Brewing Co.,Roseland,VA,NOT KNOWN,English-Style Mild Ale,2010
2595,Gold,312  Urban Wheat Ale,Goose Island Beer Co.,Chicago,IL,Cook,English-Style Summer Ale,2010
2596,Silver,Pacific Daylight,Dale Bros. Brewery,Upland,CA,San Bernardino,English-Style Summer Ale,2010
2597,Bronze,Sandbagger Gold,Montana Brewing Co.,Billings,MT,Yellowstone,English-Style Summer Ale,2010
2598,Gold,Dunkel,AC Golden Brewing Co.,Golden,CO,Jefferson,European-Style Dunkel,2010
2599,Silver,Dunkel Lager,Triumph Brewing Co. of Philadelphia,Philadelphia,PA,Philadelphia,European-Style Dunkel,2010
2600,Bronze,Dark Side Lager,C.B. Potts Restaurant & Brewery (Fort Collins),Fort Collins,CO,Larimer,European-Style Dunkel,2010
2601,Gold,Key Lime Pie,Short's Brewing Co.,Bellaire,MI,Antrim,Experimental Beer,2010
2602,Silver,Estate Homegrown Ale,Sierra Nevada Brewing Co.,Chico,CA,Butte,Experimental Beer,2010
2603,Bronze,Wild Lemon Wheat,Great Basin Brewing Co.,Sparks,NV,Washoe,Experimental Beer,2010
2604,Gold,GAR Pale Ale,Great American Restaurants,Centreville,VA,Fairfax,Extra Special Bitter or Strong Bitter,2010
2605,Silver,Saint Arnold Elissa IPA,Saint Arnold Brewing Co.,Houston,TX,Harris,Extra Special Bitter or Strong Bitter,2010
2606,Bronze,Bachelor ESB,Deschutes Brewery,Bend,OR,Deschutes,Extra Special Bitter or Strong Bitter,2010
2607,Gold,Frog's Hollow Double Pumpkin Ale,Hoppin' Frog Brewing Co.,Akron,OH,Summit,Field Beer,2010
2608,Silver,Dark o' the Moon,Elysian Brewing Co.,Seattle,WA,King,Field Beer,2010
2609,Bronze,Imperial Pumpkin Ale,Weyerbacher Brewing Co.,Easton,PA,Northampton,Field Beer,2010
2610,Gold,Fade to Black,Left Hand Brewing Co.,Longmont,CO,Boulder,Foreign-Style Stout,2010
2611,Silver,Whiteface Stout,Great Adirondack Brewing Co.,Lake Placid,NY,Essex,Foreign-Style Stout,2010
2612,Bronze,Tsunami Stout,Pelican Pub & Brewery,Pacific City,OR,Tillamook,Foreign-Style Stout,2010
2613,Gold,Saison Vautour,McKenzie Brew House,Malvern,PA,Chester,French- and Belgian-Style Saison,2010
2614,Silver,Colette,Great Divide Brewing Co.,Denver,CO,Denver,French- and Belgian-Style Saison,2010
2615,Bronze,Belgian Summer Ale,Great Adirondack Brewing Co.,Lake Placid,NY,Essex,French- and Belgian-Style Saison,2010
2616,Gold,Chardonnay Blonde,Blue Moon Brewing Co.,Denver,CO,Denver,Fruit Beer,2010
2617,Silver,Apricot Ale,Pyramid Breweries Inc,Seattle,WA,King,Fruit Beer,2010
2618,Bronze,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Green,Fruit Beer,2010
2619,Gold,GestAlt,Haverhill Brewery,Haverhill,MA,Essex,German-Style Altbier,2010
2620,Silver,Bismarck Altbier,Dry Dock Brewing Co.,Aurora,CO,Adams,German-Style Altbier,2010
2621,Bronze,Sticke Alt,Rock Bottom Breweries,Louisville,CO,Boulder,German-Style Altbier,2010
2622,Gold,Carbonator,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Garfield,German-Style Doppelbock or Eisbock,2010
2623,Silver,Gordon Biersch Eisbock,Gordon Biersch Brewery Restaurants,Chattanooga,TN,Hamilton,German-Style Doppelbock or Eisbock,2010
2624,Bronze,Dominator Dopplebock,Sun King Brewing Co.,Indianapolis,IN,Marion,German-Style Doppelbock or Eisbock,2010
2625,Gold,Saint Arnold Fancy Lawnmower Beer,Saint Arnold Brewing Co.,Houston,TX,Harris,German-Style Kölsch,2010
2626,Silver,Colorado Kolsch,Steamworks Brewing Co.,Durango,CO,La Plata,German-Style Kölsch,2010
2627,Bronze,Kolsch 151,Blue Mountain Brewery,Afton,VA,NOT KNOWN,German-Style Kölsch,2010
2628,Gold,Flor Hosen,SandLot (The),Denver,CO,Denver,German-Style Märzen,2010
2629,Silver,Oh! Fest!,Morgan Territory Brewing,Antioch,CA,Contra Costa,German-Style Märzen,2010
2630,Bronze,Munsterfest,Three Floyds Brewing Co. LLC,Munster,IN,Lake,German-Style Märzen,2010
2631,Gold,Trumer Pils,Trumer Brauerei Berkeley,San Antonio,TX,Bexar,German-Style Pilsener,2010
2632,Silver,German Pilsner,AC Golden Brewing Co.,Golden,CO,Jefferson,German-Style Pilsener,2010
2633,Bronze,Chuckanut Pilsner,Chuckanut Brewery,Bellingham,WA,Whatcom,German-Style Pilsener,2010
2634,Gold,Redrock Black Bier,Redrock Brewing Co.,Salt Lake City,UT,Salt Lake,German-Style Schwarzbier,2010
2635,Silver,Annie Schwarz,Haverhill Brewery,Haverhill,MA,Essex,German-Style Schwarzbier,2010
2636,Bronze,TAPS Schwarzbier,TAPS Fish House & Brewery,Brea,CA,Orange,German-Style Schwarzbier,2010
2637,Gold,Berliner Weisse,Snake River Brewing Co.,Jackson,WY,Teton,German-Style Sour Ale,2010
2638,Silver,Tiny Bubbles,Hollister Brewing Co.,Goleta,CA,Santa Barbara,German-Style Sour Ale,2010
2639,Bronze,Beer Gone Good,Terrapin Beer Co.,Athens,GA,Clarke,German-Style Sour Ale,2010
2640,Gold,Hefelightzen,BJ's Restaurant & Brewery,Huntington Beach,CA,Orange,German-Style Wheat Ale,2010
2641,Silver,Wowzenbock,Deschutes Brewery,Bend,OR,Deschutes,German-Style Wheat Ale,2010
2642,Bronze,Capital Weizen Doppelbock,Capital Brewery Co. Inc,Middleton,WI,Dane,German-Style Wheat Ale,2010
2643,Gold,Celia Pale Ale,Alchemist (The),Waterbury,VT,Washington,Gluten Free Beer,2010
2644,Silver,Gluten Free,Deschutes Brewery,Bend,OR,Deschutes,Gluten Free Beer,2010
2645,Bronze,3R Raspberry Ale,New Planet Beer Co.,Boulder,CO,Boulder,Gluten Free Beer,2010
2646,Gold,Kiwanda Cream Ale,Pelican Pub & Brewery,Pacific City,OR,Tillamook,Golden or Blonde Ale,2010
2647,Silver,Steelhead Extra Pale Ale,Mad River Brewing Co.,Blue Lake,CA,Humboldt,Golden or Blonde Ale,2010
2648,Bronze,Heavy Seas Gold Ale,Clipper City Brewing Co.,Baltimore,MD,Baltimore (city),Golden or Blonde Ale,2010
2649,Gold,Rosemary Swamp Fox,Moon River Brewing Co.,Savannah,GA,Chatham,Herb and Spice or Chocolate Beer,2010
2650,Silver,Stone Smoked Porter with Chipotle,Stone Brewing Co.,Escondido,CA,San Diego,Herb and Spice or Chocolate Beer,2010
2651,Bronze,Super Chili Pepper Madness,Mad River Brewing Co.,Blue Lake,CA,Humboldt,Herb and Spice or Chocolate Beer,2010
2652,Gold,Doheny Double IPA,Pizza Port - San Clemente,San Clemente,CA,Orange,Imperial India Pale Ale,2010
2653,Silver,Hop Crisis!,21st Amendment Brewery,San Francisco,CA,San Francisco,Imperial India Pale Ale,2010
2654,Bronze,Decadence Imperial IPA,Trinity Brewhouse,Providence,RI,Providence,Imperial India Pale Ale,2010
2655,Gold,Lumberyard Imperial Red,Lumberyard Brewing Co.,Flagstaff,AZ,Coconino,Imperial Red Ale,2010
2656,Silver,Red Eye PA,Brew Kettle Production Works (The),Strongsville,OH,Cuyahoga,Imperial Red Ale,2010
2657,Bronze,Deranger,Laurelwood Brewing Co.,Portland,OR,Multnomah,Imperial Red Ale,2010
2658,Gold,Russian Imperial Stout,Iron Hill Brewery & Restaurant,Wilmington,DE,New Castle,Imperial Stout,2010
2659,Silver,Night Rider Imperial Stout,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,Imperial Stout,2010
2660,Bronze,Anastasia Russian Imperial Stout,Weasel Boy Brewing Co.,Zanesville,OH,Muskingum,Imperial Stout,2010
2661,Gold,Red Trolley Ale,Karl Strauss Brewing Co.,San Diego,CA,San Diego,Irish-Style Red Ale,2010
2662,Silver,River Falls Red Ale,Thomas Creek Brewery,Greenville,SC,Greenville,Irish-Style Red Ale,2010
2663,Bronze,Ragtop Red,Rock Bottom Breweries,Louisville,CO,Boulder,Irish-Style Red Ale,2010
2664,Gold,Kolsch,Hale's Ales Brewery & Pub,Seattle,WA,King,Kellerbier/Zwickelbier,2010
2665,Silver,Kellerbier,Triumph Brewing Co. of Philadelphia,Philadelphia,PA,Philadelphia,Kellerbier/Zwickelbier,2010
2666,Bronze,Summer Teeth,Columbus Brewing Co.,Columbus,OH,Franklin,Kellerbier/Zwickelbier,2010
2667,Gold,What in the Helles?,Steamworks Brewing Co.,Durango,CO,La Plata,Munich-Style Helles,2010
2668,Silver,Longboard Island Lager,Kona Brewing Co.,Kailua-Kona,HI,NOT KNOWN,Munich-Style Helles,2010
2669,Bronze,Cowboy Lager,Covey Restaurant & Brewery (The),Fort Worth,TX,NOT KNOWN,Munich-Style Helles,2010
2670,Gold,Backside Stout,Steamworks Brewing Co.,Durango,CO,La Plata,Oatmeal Stout,2010
2671,Silver,Naked Oatmeal Stout,Rock Bottom Breweries,Louisville,CO,Boulder,Oatmeal Stout,2010
2672,Bronze,825 State Stout,Epic Brewing Co. LLC,Salt Lake City,UT,Salt Lake,Oatmeal Stout,2010
2673,Gold,Fourth Dementia Olde Ale,Kuhnhenn Brewing Co.,Warren,MI,Macomb,Old Ale or Strong Ale,2010
2674,Silver,Curmudgeon,Founders Brewing Co.,Grand Rapids,MI,Kent,Old Ale or Strong Ale,2010
2675,Bronze,Outback X,Bend Brewing Co.,Bend,OR,Deschutes,Old Ale or Strong Ale,2010
2676,Gold,Rio Blanco Pale Ale,Real Ale Brewing Co.,Blanco,TX,Blanco,Ordinary or Special Bitter,2010
2677,Silver,DBA,Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,Ordinary or Special Bitter,2010
2678,Bronze,Drop Top,Widmer Brothers Brewing Co.,Portland,OR,Multnomah,Ordinary or Special Bitter,2010
2679,Gold,Sierra 30 Jack and Ken's Ale,Sierra Nevada Brewing Co.,Chico,CA,Butte,Other Strong Beer,2010
2680,Silver,Panzer Pilsner,Port Brewing Co.,San Marcos,CA,San Diego,Other Strong Beer,2010
2681,Bronze,Imperial Oatmeal Stout,Boundary Bay Brewery,Bellingham,WA,Whatcom,Other Strong Beer,2010
2682,Gold,Fathom IPL,Ballast Point Brewing Co.,San Diego,CA,San Diego,Out of Category – Traditionally Brewed Beer,2010
2683,Silver,Mötley Brüe RyePA,Four Peaks Brewing Co.,Tempe,AZ,Maricopa,Out of Category – Traditionally Brewed Beer,2010
2684,Bronze,Hot Rocks Lager,Port Brewing Co.,San Marcos,CA,San Diego,Out of Category – Traditionally Brewed Beer,2010
2685,Gold,Red Velvet,Eagle Rock Brewery,Los Angeles,CA,Los Angeles,Pro-Am Competition,2010
2686,Silver,Ryed Hard & Put Away Wet,Rockyard Brewing Co.,Castle Rock,CO,Douglas,Pro-Am Competition,2010
2687,Bronze,Robust Porter,Wormtown Brewing Co.,Worcester,MA,Worcester,Pro-Am Competition,2010
2688,Gold,Pig Iron Porter,Iron Hill Brewery & Restaurant,Wilmington,DE,New Castle,Robust Porter,2010
2689,Silver,Moonlight Porter,Rock Bottom Breweries,Louisville,CO,Boulder,Robust Porter,2010
2690,Bronze,Blimp Hangar Porter,Tustin Brewing Co.,Tustin,CA,Orange,Robust Porter,2010
2691,Gold,BMB Rye IPA,Black Market Brewing Co.,Temecula,CA,Riverside,Rye Beer,2010
2692,Silver,Portsmouth Brewery Rye Not,Portsmouth Brewery,Portsmouth,NH,Rockingham,Rye Beer,2010
2693,Bronze,Roggenbier,Bear Republic Brewing Co.,Healdsburg,CA,Sonoma,Rye Beer,2010
2694,Gold,Reed's Wee Heavy,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,Scotch Ale,2010
2695,Silver,Wee Willy Scotch Ale,McCoys Public House & BrewKitchen ,Kansas City,MO,Jackson,Scotch Ale,2010
2696,Bronze,MacPelican's Wee Heavy Ale,Pelican Pub & Brewery,Pacific City,OR,Tillamook,Scotch Ale,2010
2697,Gold,Highland Courage,Rock Bottom Breweries,Louisville,CO,Boulder,Scottish-Style Ale,2010
2698,Silver,Saint Arnold Oktoberfest,Saint Arnold Brewing Co.,Houston,TX,Harris,Scottish-Style Ale,2010
2699,Bronze,Laughing Lab Scottish Ale,Bristol Brewing Co.,Colorado Springs,CO,El Paso,Scottish-Style Ale,2010
2700,Gold,Squatters Wit,Utah Brewers Cooperative,Salt Lake City,UT,Salt Lake,Session Beer,2010
2701,Silver,Endurance IPA Jr.,Founders Brewing Co.,Grand Rapids,MI,Kent,Session Beer,2010
2702,Bronze,King's Peak Porter,Uinta Brewing Co.,Salt Lake City,UT,Salt Lake,Session Beer,2010
2703,Gold,Alaskan Smoked Porter 2009,Alaskan Brewing Co.,Juneau,AK,Juneau,Smoked Beer,2010
2704,Silver,Yazoo SUE,Yazoo Brewing Co.,Nashville,TN,Davidson,Smoked Beer,2010
2705,Bronze,Gordon Biersch Rauchbier,Gordon Biersch Brewery Restaurants,Chattanooga,TN,Hamilton,Smoked Beer,2010
2706,Gold,Stoudts Heifer In Wheat,Stoudt's Brewing Co.,Adamstown,PA,Lancaster,South German-Style Hefeweizen,2010
2707,Silver,U-Boat Hefeweizen,Dry Dock Brewing Co.,Aurora,CO,Adams,South German-Style Hefeweizen,2010
2708,Bronze,Wintergreen Weiss,Devils Backbone Brewing Co.,Roseland,VA,NOT KNOWN,South German-Style Hefeweizen,2010
2709,Gold,Belipago,Jolly Pumpkin Artisan Ales,Dexter,MI,Washtenaw,Specialty Beer,2010
2710,Silver,Coconut Porter,Pagosa Brewing Co.,Pagosa Springs,CO,Archuleta,Specialty Beer,2010
2711,Bronze,Hazelnut Brown Nectar,Rogue Ales,Newport,OR,Lincoln,Specialty Beer,2010
2712,Gold,Blue Moon Summer Honey Wheat Ale,Blue Moon Brewing Co.,Denver,CO,Denver,Specialty Honey Beer,2010
2713,Silver,Truck Stop Honey Brown Ale,Back Forty Beer Co.,Gadsden,AL,Etowah,Specialty Honey Beer,2010
2714,Bronze,Samuel Adams Honey Porter,Boston Beer Co.,Boston,MA,Suffolk,Specialty Honey Beer,2010
2715,Gold,Kickstart Stout,Barley Brothers Brewery & Grill,Lake Havasu City,AZ,Mohave,Sweet Stout,2010
2716,Silver,Oil Change Stout,Flat Branch Pub and Brewery,Columbia,MO,Boone,Sweet Stout,2010
2717,Bronze,Portsmouth Brewery Milk Stout,Portsmouth Brewery,Portsmouth,NH,Rockingham,Sweet Stout,2010
2718,Gold,Chuckanut Vienna Lager,Chuckanut Brewery,Bellingham,WA,Whatcom,Vienna-Style Lager,2010
2719,Silver,Clueless Beer Writer,SandLot (The),Denver,CO,Denver,Vienna-Style Lager,2010
2720,Bronze,Heavy Seas Marzen,Clipper City Brewing Co.,Baltimore,MD,Baltimore (city),Vienna-Style Lager,2010
2721,Gold,Velvet Merkin (100% Barrel Aged),Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,Wood- and Barrel-Aged Beer,2010
2722,Silver,Humidor India Pale Ale,Cigar City Brewing,Tampa,FL,Hillsborough,Wood- and Barrel-Aged Beer,2010
