,Medal,Beer Name,Brewery,City,State,County,Category,Year
226,Silver,STS Pils,Russian River Brewing Co. - Production,Santa Rosa,CA,Sonoma,Kellerbier or Zwickelbier,2018
227,Bronze,NashZwickel,Nashville Brewing Co.,Nashville,TN,Davidson,Kellerbier or Zwickelbier,2018
228,Gold,Altitude Banquet,Altitude Chophouse and Brewery,Laramie,WY,Albany,Light Lager,2018
229,Silver,Awesome Beer Rice Lager,State Room Brewery,San Rafael,CA,Marin,Light Lager,2018
230,Bronze,Super Awesome Lager,Austin Beerworks,Austin,TX,Travis,Light Lager,2018
231,Gold,Druif,pFriem Family Brewers,Hood River,OR,Hood River,Mixed-Culture Brett Beer,2018
232,Silver,Citra Dry Hopped Funk Yo Couch,Wiley Roots Brewing Co.,Greeley,CO,Weld,Mixed-Culture Brett Beer,2018
233,Bronze,Coming to Fruition: Cherry,Oregon City Brewing Co.,Oregon City,OR,Clackamas,Mixed-Culture Brett Beer,2018
234,Gold,Chuckanut Dunkel,Chuckanut - South Nut,Burlington,WA,Skagit,Munich-Style Dunkel or European-Style Dark Lager,2018
235,Silver,Duck River Dunkel,Goat Island Brewing,Cullman,AL,Cullman,Munich-Style Dunkel or European-Style Dark Lager,2018
236,Bronze,Babee Bock,Brew Kettle - Production Works,Strongsville,OH,Cuyahoga,Munich-Style Dunkel or European-Style Dark Lager,2018
237,Gold,Hell Yes,The Austin Beer Garden Brewing Co.,Austin,TX,Travis,Munich-Style Helles,2018
238,Silver,Chuckanut Helles,Chuckanut Brewery - North Nut,Bellingham,WA,Whatcom,Munich-Style Helles,2018
239,Bronze,House Lager,Jack's Abby Brewing,Framingham,MA,Middlesex,Munich-Style Helles,2018
