Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
Gold,Good Grief Brown,Pizza Port Carlsbad,Carlsbad,San Diego,CA,English-Style Brown Ale,2011,45
Gold,Great American Brown,Pizza Port Carlsbad,Carlsbad,San Diego,CA,American-Style Brown Ale,2011,49
Gold,Blacktop IPA,New Glarus Brewing Co.,New Glarus,Green,WI,American-Style Black Ale,2011,74
Gold,Little Red Cap,Grimm Brothers Brewhouse,Loveland,Larimer,CO,German-Style Altbier,2011,30
Gold,Berliner Weisse,Crabtree Brewing Co.,Greeley,Weld,CO,German-Style Sour Ale,2011,13
Gold,Hefeweizen,Dry Dock Brewing,Aurora,Adams,CO,South German-Style Hefeweizen,2011,64
Gold,Boscos Hefeweizen,Boscos Brewing Co.,Memphis,Pickens,TN,German-Style Wheat Ale,2011,23
Gold,Witte,Brewery Ommegang,Cooperstown,Otsego,NY,Belgian-Style Witbier,2011,53
Gold,Saison-Brett,Boulevard Brewing Co.,Kansas City,Wyandotte,MO,French- and Belgian-Style Saison,2011,65
Gold,California Ale,Telegraph Brewing Co.,Santa Barbara,Santa Barbara,CA,Belgian- and French-Style Ale,2011,56
Gold,Fifth Element 2008,Squatters Pub Brewery,Salt Lake City,Salt Lake,UT,Belgian-Style Lambic or Sour Ale,2011,51
Gold,Brother David’s Double,Anderson Valley Brewing Co.,Boonville,Mendocino,CA,Belgian-Style Abbey Ale,2011,76
Gold,Buffalo Slumber,Sun King Brewing Co.,Indianapolis,Marion,IN,Belgian-Style Strong Specialty Ale,2011,59
Gold,Out of Order Porter,Wind River Brewing Co.,Pinedale,Navajo,WY,Brown Porter,2011,32
Gold,Moonlight Porter,"Rock Bottom Brewery (La Jolla, CA)",Louisville,Barbour,CO,Robust Porter,2011,62
Gold,Ring of Dingle,Sun King Brewing Co.,Indianapolis,Marion,IN,Classic Irish-Style Dry Stout,2011,24
Gold,Dark Side Stout,Silver Moon Brewing,Bend,Tehama,OR,Foreign-Style Stout,2011,23
Gold,Jules Winnfi eld,Pizza Port Solana Beach,Solana Beach,San Diego,CA,American-Style Stout,2011,37
Gold,Steel Toe Stout,Ska Brewing Co.,Durango,La Plata,CO,Sweet Stout,2011,19
Gold,Back Road Stout,Millstream Brewing Co.,Amana,Iowa,IA,Oatmeal Stout,2011,36
Gold,BORIS The Crusher Oatmeal-Imperial Stout,Hoppin’ Frog Brewing Co.,Akron,Hale,OH,Imperial Stout,2011,56
Gold,Wee Muckle,Sun King Brewing Co.,Indianapolis,Marion,IN,Scotch Ale,2011,39
Gold,Papier,The Bruery,Placentia,Orange,CA,Old Ale or Strong Ale,2011,35
Gold,Horn Dog Barleywine,Flying Dog Brewery,Frederick,Weld,MD,Barley Wine-Style Ale,2011,42
Silver,Shredders Wheat,Barley Brown’s Brew Pub,Baker City,Baker,OR,American-Style Wheat Beer,2011,20
Silver,Tumblewheat,Altitude Chophouse and Brewery,Laramie,Albany,WY,American-Style Wheat Beer With Yeast,2011,38
Silver,Brainless on Peaches,Epic Brewing Co.,Salt Lake City,Salt Lake,UT,Fruit Beer,2011,56
Silver,Mr. Pineapple Wheat,SanTan Brewing Co.,Chandler,Maricopa,AZ,Fruit Wheat Beer,2011,48
Silver,Pumpkin Ale,BJ’s Restaurant & Brewery - Chandler,Chandler,Maricopa,AZ,Field Beer or Pumpkin Beer,2011,37
Silver,LSD,Minneapolis Town Hall Brewery,Minneapolis,Ottawa,MN,Herb and Spice Beer,2011,92
Silver,Samuel Adams Chocolate Chili Bock,Boston Beer Co.,Boston,Thomas,MA,Chocolate Beer,2011,30
Silver,Coffee Monster,Pizza Port Carlsbad,Carlsbad,San Diego,CA,Coffee Beer,2011,60
Silver,Chateau Jiahu,Dogfi sh Head Craft Brewery,Milton,Sussex,DE,Specialty Beer,2011,24
Silver,Bock in Bock,Tequesta Brewing Co.,Tequesta,Palm Beach,FL,Rye Beer,2011,36
Silver,Eye of the Storm,Minneapolis Town Hall Brewery,Minneapolis,Ottawa,MN,Specialty Honey Beer,2011,32
Silver,Twerp,Pizza Port Carlsbad,Carlsbad,San Diego,CA,Session Beer,2011,44
Silver,Saison du Summer,Backcountry Brewery,Frisco,Summit,CO,Other Strong Beer,2011,53
Silver,Petit Obscura,Telegraph Brewing Co.,Santa Barbara,Santa Barbara,CA,Experimental Beer,2011,83
Silver,Monticello Reserve Ale,Starr Hill Brewery,Crozet,Albemarle,VA,Indigenous Beer,2011,31
Silver,New Grist,Lakefront Brewery,Milwaukee,Milwaukee,WI,Gluten-Free Beer,2011,15
Silver,Blue Reserve,Blue Mountain Brewery,Afton,San Bernardino,VA,American-Belgo-Style Ale,2011,43
Silver,Framboise de Amorosa,The Lost Abbey,San Marcos,San Diego,CA,American-Style Sour Ale,2011,21
Silver,Super Friends IPA,Ithaca Beer Co.,Ithaca,Gratiot,NY,American-Style Brett Ale,2011,31
Silver,Wee Pogue,Sun King Brewing Co.,Indianapolis,Marion,IN,Wood- and Barrel-Aged Beer,2011,40
Silver,BBJ (Bourbon Barrel Johan),Sun King Brewing Co.,Indianapolis,Marion,IN,Wood- and Barrel-Aged Strong Beer,2011,118
Silver,2010 Bourbon Barrel Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,Forsyth,NC,Wood- and Barrel-Aged Strong Stout,2011,74
Silver,The Wanderer,The Bruery,Placentia,Orange,CA,Wood- and Barrel-Aged Sour Beer,2011,75
Silver,Release the Hounds,Bull & Bush Brewery,Denver,Denver,CO,Aged Beer,2011,36
Silver,Bottle Rocket Lager,Uncle Billy’s Brew & Que - Lake Travis,Austin,Lonoke,TX,Kellerbier or Zwickelbier,2011,48
Silver,Smoke Out,Starr Hill Brewery,Crozet,Albemarle,VA,Smoke Beer,2011,43
Silver,Popcorn Pilsner,Sun King Brewing Co.,Indianapolis,Marion,IN,American-Style or International-Style Pilsener,2011,31
Silver,Sunshine Pils,Tröegs Brewing Co.,Harrisburg,Poinsett,PA,German-Style Pilsener,2011,42
Silver,Mama’s Little Yella Pils,Oskar Blues Brewery,Longmont,Boulder,CO,Bohemian-Style Pilsener,2011,42
Silver,Where in the Helles Gunner?,Emmett’s Brewing Co.,West Dundee,Kane,IL,Munich-Style Helles,2011,38
Silver,Tommy Two Fists,Devils Backbone Brewing Co.,Roseland,Sonoma,VA,Dortmunder or German-Style Oktoberfest,2011,20
Silver,Busch Light,Anheuser-Busch,Saint Louis,Gratiot,MO,American-Style Lager Light Lager or Premium Lager,2011,55
Silver,Rainier,Pabst Brewing Co.,Woodridge,DuPage,IL,American-Style Specialty Lager or Cream Ale or Lager,2011,31
Silver,Cityfest,Brewzzi,West Palm Beach,Palm Beach,FL,Vienna-Style Lager,2011,32
Silver,Munster Fest,Three Floyds Brewing Co.,Munster,Lake,IN,German-Style Märzen,2011,58
Silver,Colorado Native,AC Golden Brewing Co.,Golden,Jefferson,CO,American-Style Amber Lager,2011,58
Silver,Chuckanut Dunkel,Chuckanut Brewery,Bellingham,Norfolk,WA,European-Style Dunkel,2011,23
Silver,Session Black,Full Sail Brewing Co.,Hood River,Hood River,OR,American-Style Dark Lager,2011,16
Silver,Nevermore Lager,"Rock Bottom Brewery (King of Prussia, PA)",Louisville,Barbour,CO,German-Style Schwarzbier,2011,26
Silver,PrePro Bock,Coors Archive Brewery,Golden,Jefferson,CO,Bock,2011,34
Silver,St. Nik Brewer’s Reserve,Pennsylvania Brewing Co.,Pittsburgh,Allegheny,PA,German-Style Doppelbock or Eisbock,2011,22
Silver,White Eagle Baltic Porter,Montana Brewing Co.,Billings,Christian,MT,Baltic-Style Porter,2011,19
Silver,Alaskan Pale Ale,Alaskan Brewing Co.,Juneau,Juneau,AK,Golden or Blonde Ale,2011,56
Silver,Great Adirondack Kölsch,Great Adirondack Brewing Co.,Lake Placid,Highlands,NY,Golden or Blonde Ale,2011,56
Silver,Peacemaker,Austin Beerworks,Austin,Lonoke,TX,English-Style Summer Ale,2011,33
Silver,MacTarnahan’s Amber Ale,MacTarnahan’s Brewing Co.,Portland,Ashley,OR,Classic English-Style Pale Ale,2011,25
Silver,Napa Smith Organic IPA,Napa Smith Brewery,Napa,Napa,CA,English-Style India Pale Ale,2011,46
Silver,Intercontinental Pale Ale,Flossmoor Station Brewing Co.,Flossmoor,Cook,IL,International-Style Pale Ale,2011,20
Silver,Mission St. Pale,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,American-Style Pale Ale,2011,105
Silver,AleSmith IPA,AleSmith Brewing Co.,San Diego,San Diego,CA,American-Style Strong Pale Ale,2011,103
Silver,Deviant Dale’s,Oskar Blues Brewery,Longmont,Boulder,CO,American-Style India Pale Ale,2011,176
Silver,Double Jack,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,Imperial India Pale Ale,2011,102
Silver,Jamaica Red Ale,Mad River Brewing Co.,Blue Lake,Humboldt,CA,American-Style Amber/Red Ale,2011,82
Silver,Rhino Chaser Imperial Red Ale,Pizza Port Ocean Beach,San Diego,San Diego,CA,Imperial Red Ale,2011,57
Silver,Dawn Patrol Dark,Pizza Port Solana Beach,Solana Beach,San Diego,CA,English-Style Mild Ale,2011,25
Silver,New Speedway Bitter,Magnolia Gastropub and Brewery,San Francisco,San Francisco,CA,Ordinary or Special Bitter,2011,28
Silver,Colorado Kind,Mountain Sun Pub and Brewery,Boulder,Boulder,CO,Extra Special Bitter,2011,43
Silver,Naughty Scot,"Rock Bottom Brewery (College Park - Indianapolis, IN)",Louisville,Barbour,CO,Scottish-Style Ale,2011,27
Silver,Copperhead Red,Ghost River Brewing,Memphis,Pickens,TN,Irish-Style Red Ale,2011,31
Silver,Rock Bottom Brown Ale,"Rock Bottom Brewery (San Diego, CA)",Louisville,Barbour,CO,English-Style Brown Ale,2011,45
Silver,Redrock Nut Brown Ale,Redrock Brewing Co.,Salt Lake City,Salt Lake,UT,American-Style Brown Ale,2011,49
Silver,Blackened CDA,Carter’s Brewing,Billings,Christian,MT,American-Style Black Ale,2011,74
Silver,TAPS Alt,"TAPS Fish House & Brewery (Brea, CA)",Brea,Orange,CA,German-Style Altbier,2011,30
Silver,Hottenroth Berliner Weisse,The Bruery,Placentia,Orange,CA,German-Style Sour Ale,2011,13
Silver,Wild Pitch Hefe Weizen,The SandLot,Denver,Denver,CO,South German-Style Hefeweizen,2011,64
Silver,Weizenbock,Sierra Nevada Brewing Co.,Chico,Butte,CA,German-Style Wheat Ale,2011,23
Silver,La Perouse White,Maui Brewing Co. - Brewpub,Maui,#N/A,HI,Belgian-Style Witbier,2011,53
Silver,Funkwerks Saison,Funkwerks,Fort Collins,Larimer,CO,French- and Belgian-Style Saison,2011,65
Silver,TAPS Biere de Garde,"TAPS Fish House & Brewery (Corona, CA)",Brea,Orange,CA,Belgian- and French-Style Ale,2011,56
Silver,Blue Sunday,New Holland Brewing Co.,Holland,Faulkner,MI,Belgian-Style Lambic or Sour Ale,2011,51
Silver,Wild-Westmalle Tripel,Chicago Brewing Co.,Las Vegas,Clark,NV,Belgian-Style Abbey Ale,2011,76
Silver,Revelations,Pizza Port Carlsbad,Carlsbad,San Diego,CA,Belgian-Style Strong Specialty Ale,2011,59
Silver,FireHouse Porter,FireHouse Grill & Brewery,Sunnyvale,Santa Clara,CA,Brown Porter,2011,32
Silver,DeadEye Jack Porter,LoneRider Brewing Co.,Raleigh,Levy,NC,Robust Porter,2011,62
Silver,Breakside Dry Stout,Breakside Brewery,Portland,Ashley,OR,Classic Irish-Style Dry Stout,2011,24
Silver,Malpais Stout,La Cumbre Brewing Co.,Albuquerque,Bernalillo,NM,Foreign-Style Stout,2011,23
Silver,Achievement Beyond Life’s Experiences American Stout,Brit Antrim Benefit Beer Pizza Port Ocean Beach,San Diego,San Diego,CA,American-Style Stout,2011,37
Silver,Cream Stout,Redwood Brewing Co.,Flint,Genesee,MI,Sweet Stout,2011,19
Silver,Oatmeal Stout,Crabtree Brewing Co.,Greeley,Weld,CO,Oatmeal Stout,2011,36
Silver,Russian Imperial Stout,Iron Hill Brewery & Restaurant,Wilmington,New Castle,DE,Imperial Stout,2011,56
Silver,Wee Heavy,Vintage Brewing Co.,Madison,Madison,WI,Scotch Ale,2011,39
Silver,AleSmith Decadence ‘10 Old Ale,AleSmith Brewing Co.,San Diego,San Diego,CA,Old Ale or Strong Ale,2011,35
Silver,AleSmith Old Numbskull,AleSmith Brewing Co.,San Diego,San Diego,CA,Barley Wine-Style Ale,2011,42
Bronze,Wagon Box Wheat,Black Tooth Brewing Co.,Sheridan,Grant,WY,American-Style Wheat Beer,2011,20
Bronze,Leavenworth Whistling Pig Hefeweizen,Fish Brewing Co.,Olympia,Bath,WA,American-Style Wheat Beer With Yeast,2011,38
Bronze,Derailed Black Cherry Ale,Erie Brewing Co.,Erie,Boulder,PA,Fruit Beer,2011,56
Bronze,Vintage Blonde Ale,Blue Moon Brewing Co.,Golden,Jefferson,CO,Fruit Wheat Beer,2011,48
Bronze,Turnip the Beets,Bull & Bush Brewery,Denver,Denver,CO,Field Beer or Pumpkin Beer,2011,37
Bronze,CBC Heather Ale,Cambridge Brewing Co.,Cambridge,Washington,MA,Herb and Spice Beer,2011,92
Bronze,Samuel Adams Chocolate Bock,Boston Beer Co.,Boston,Thomas,MA,Chocolate Beer,2011,30
Bronze,Coffee Milk Stout,Dry Dock Brewing,Aurora,Adams,CO,Coffee Beer,2011,60
Bronze,Denver Beer Co. Graham Cracker Porter,Denver Beer Co.,Denver,Denver,CO,Specialty Beer,2011,24
Bronze,Crank Tank,SweetWater Brewing Co.,Atlanta,Columbia,GA,Rye Beer,2011,36
Bronze,Midas Touch,Dogfi sh Head Craft Brewery,Milton,Sussex,DE,Specialty Honey Beer,2011,32
Bronze,Firestone Walker Extra Pale Ale,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,Session Beer,2011,44
Bronze,Totality Imperial Stout,FiftyFifty Brewing Co.,Truckee,Nevada,CA,Other Strong Beer,2011,53
Bronze,Belgorado,Wynkoop Brewing Co.,Denver,Denver,CO,Experimental Beer,2011,83
Bronze,Hot Rocks Lager,Port Brewing Co.,San Marcos,San Diego,CA,Indigenous Beer,2011,31
Bronze,Seeley Axe White,Kettlehouse Brewing Co.,Missoula,Missoula,MT,Gluten-Free Beer,2011,15
Bronze,Boulevard Collaboration #2,Boulevard Brewing Co.,Kansas City,Wyandotte,MO,American-Belgo-Style Ale,2011,43
Bronze,Ching Ching,Bend Brewing Co.,Bend,Tehama,OR,American-Style Sour Ale,2011,21
Bronze,Grimalkin - Super Kitty Fantastico,Brugge Brasserie,Indianapolis,Marion,IN,American-Style Brett Ale,2011,31
Bronze,Pinot Jubel,Deschutes Brewery,Bend,Tehama,OR,Wood- and Barrel-Aged Beer,2011,40
Bronze,Barrel Aged Naked Evil BBW,Hoppin’ Frog Brewing Co.,Akron,Hale,OH,Wood- and Barrel-Aged Strong Beer,2011,118
Bronze,Grand Inquisitor,Iron Hill Brewery & Restaurant,Wilmington,New Castle,DE,Wood- and Barrel-Aged Strong Stout,2011,74
Bronze,Le Serpent Cerise,Snake River Brewing,Jackson,Clarke,WY,Wood- and Barrel-Aged Sour Beer,2011,75
Bronze,2004 Triple Exultation,Eel River Brewing Co.,Fortuna,Humboldt,CA,Aged Beer,2011,36
Bronze,B3K Schwarzbier,Wynkoop Brewing Co.,Denver,Denver,CO,Kellerbier or Zwickelbier,2011,48
Bronze,Alaskan Smoked Porter 2010,Alaskan Brewing Co.,Juneau,Juneau,AK,Smoke Beer,2011,43
Bronze,Legacy Lager,Silver Moon Brewing,Bend,Tehama,OR,American-Style or International-Style Pilsener,2011,31
Bronze,Pilsner,Marble Brewery,Albuquerque,Bernalillo,NM,German-Style Pilsener,2011,42
Bronze,Pilsner,McCoy’s Public House and Brewkitchen,Kansas City,Wyandotte,MO,German-Style Pilsener,2011,42
Bronze,Órale,Del Norte Brewing Co.,Denver,Denver,CO,Munich-Style Helles,2011,38
Bronze,Dog Days Lager,Two Brothers Brewing Co.,Warrenville,DuPage,IL,Dortmunder or German-Style Oktoberfest,2011,20
Bronze,Pabst Blue Ribbon Light,Pabst Brewing Co.,Woodridge,DuPage,IL,American-Style Lager Light Lager or Premium Lager,2011,55
Bronze,Old Style,Pabst Brewing Co.,Woodridge,DuPage,IL,American-Style Specialty Lager or Cream Ale or Lager,2011,31
Bronze,Vienna Red Lager,Iron Hill Brewery & Restaurant,Wilmington,New Castle,DE,Vienna-Style Lager,2011,32
Bronze,Samuel Adams Octoberfest,Boston Beer Co.,Boston,Thomas,MA,German-Style Märzen,2011,58
Bronze,Florida Beer Florida Lager,Florida Beer Co.,Melbourne,Izard,FL,American-Style Amber Lager,2011,58
Bronze,Penn Dark,Pennsylvania Brewing Co.,Pittsburgh,Allegheny,PA,European-Style Dunkel,2011,23
Bronze,Schwarzbier,AC Golden Brewing Co.,Golden,Jefferson,CO,American-Style Dark Lager,2011,16
Bronze,Gordon Biersch Schwarzbier,"Gordon Biersch Brewery Restaurant (Seattle, WA)",Chattanooga,Mercer,TN,German-Style Schwarzbier,2011,26
Bronze,Maibock,Stewart’s Brewing Co.,Bear,New Castle,DE,Bock,2011,34
Bronze,Eisphyre,Capital Brewery Co.,Middleton,Canyon,WI,German-Style Doppelbock or Eisbock,2011,22
Bronze,Puddy Porter,Triple Rock Brewery and Alehouse,Berkeley,Alameda,CA,Baltic-Style Porter,2011,19
Bronze,Kent Lake Kolsch,Iron Springs Pub & Brewery,Fairfax,Marin,CA,Golden or Blonde Ale,2011,56
Bronze,Capital City Kolsch,Blind Tiger Brewery & Restaurant,Topeka,Mason,KS,Golden or Blonde Ale,2011,56
Bronze,Mad Fox Brewing Company English Summer Ale,Mad Fox Brewing Co.,Falls Church,Falls Church (city),VA,English-Style Summer Ale,2011,33
Bronze,Prime Time Pale Ale,Big Time Brewery,Seattle,King,WA,Classic English-Style Pale Ale,2011,25
Bronze,Down ‘n’ Dirty IPA,Deschutes Brewery,Bend,Tehama,OR,English-Style India Pale Ale,2011,46
Bronze,Radiant,Ninkasi Brewing Co.,Eugene,Cole,OR,International-Style Pale Ale,2011,20
Bronze,Ute Trail Pale Ale,Amicas,Salida,Stanislaus,CO,American-Style Pale Ale,2011,105
Bronze,Hop Knot,Four Peaks Brewing Co.,Tempe,Maricopa,AZ,American-Style Strong Pale Ale,2011,103
Bronze,Head Hunter IPA,Fat Head’s Brewery,North Olmsted,Cuyahoga,OH,American-Style India Pale Ale,2011,176
Bronze,Imperial IPA,Epic Brewing Co.,Salt Lake City,Salt Lake,UT,Imperial India Pale Ale,2011,102
Bronze,Rocket Red,"Big River Grille and Brewing (Disney Boardwalk, FL)",Chattanooga,Mercer,TN,American-Style Amber/Red Ale,2011,82
Bronze,Organic Deranger,Laurelwood Brewing Co.,Portland,Ashley,OR,Imperial Red Ale,2011,57
Bronze,Bird and Baby Mild,The Public House Brewing Co.,Rolla,Morton,MO,English-Style Mild Ale,2011,25
Bronze,Bonnie Lee’s Best Bitter,Magnolia Gastropub and Brewery,San Francisco,San Francisco,CA,Ordinary or Special Bitter,2011,28
Bronze,Harvest Ale,Goose Island Beer Co.,Chicago,Cook,IL,Extra Special Bitter,2011,43
Bronze,Brown Bear Brown,"Rock Bottom Brewery (Bethesda, MD)",Louisville,Barbour,CO,Scottish-Style Ale,2011,27
Bronze,Colorado Boy Irish Ale,Colorado Boy Brewing Co.,Ridgway,Ouray,CO,Irish-Style Red Ale,2011,31
Bronze,Molly’s Titanic Brown,"Rock Bottom Brewery (Westminster, CO)",Louisville,Barbour,CO,English-Style Brown Ale,2011,45
Bronze,Brave American,American Brewing Co.,Edmonds,Madison,WA,American-Style Brown Ale,2011,49
Bronze,Black Racer,Bear Republic Brewing Co.,Healdsburg,Sonoma,CA,American-Style Black Ale,2011,74
Bronze,Chuckanut Alt,Chuckanut Brewery,Bellingham,Norfolk,WA,German-Style Altbier,2011,30
Bronze,Gordon Biersch Goze,"Gordon Biersch Brewery Restaurant (Rockville, MD)",Chattanooga,Mercer,TN,German-Style Sour Ale,2011,13
Bronze,EOS,Nebraska Brewing Co.,Papillion,Sarpy,NE,South German-Style Hefeweizen,2011,64
Bronze,Dark-n-Curvy,Piece Brewery,Chicago,Cook,IL,German-Style Wheat Ale,2011,23
Bronze,ZON,Boulevard Brewing Co.,Kansas City,Wyandotte,MO,Belgian-Style Witbier,2011,53
Bronze,Sofie,Goose Island Beer Co.,Chicago,Cook,IL,French- and Belgian-Style Saison,2011,65
Bronze,Pin-Up Blonde,Bastone Brewery,Royal Oak,Talbot,MI,Belgian- and French-Style Ale,2011,56
Bronze,Barton Kriek,North by Northwest,Austin,Lonoke,TX,Belgian-Style Lambic or Sour Ale,2011,51
Bronze,Two Tortugas,Karl Strauss Brewing Co.,San Diego,San Diego,CA,Belgian-Style Abbey Ale,2011,76
Bronze,The Twelve,Black Diamond Brewing Co.,Concord,Jefferson,CA,Belgian-Style Strong Specialty Ale,2011,59
Bronze,Porter,Lexington Avenue Brewery,Asheville,Buncombe,NC,Brown Porter,2011,32
Bronze,Pier Rat Porter,Pizza Port San Clemente,San Clemente,Orange,CA,Robust Porter,2011,62
Bronze,Shaft House Stout,Dostal Alley Brewpub & Casino,Central City,Sebastian,CO,Classic Irish-Style Dry Stout,2011,24
Bronze,Z-Man Stout,Pizza Port Ocean Beach,San Diego,San Diego,CA,Foreign-Style Stout,2011,23
Bronze,Disorder Stout,Barley Brown’s Brew Pub,Baker City,Baker,OR,American-Style Stout,2011,37
Bronze,Outlaw Oatmeal Stout,Great Basin Brewing Co.,Sparks,Cook,NV,Sweet Stout,2011,19
Bronze,Stagecoach Stout,Figueroa Mountain Brewing Co.,Buellton,Santa Barbara,CA,Oatmeal Stout,2011,36
Bronze,IMOS,Max Lager’s Wood-Fired Grill & Brewery,Atlanta,Columbia,GA,Imperial Stout,2011,56
Bronze,Old Chub Scotch Ale,Oskar Blues Brewery,Longmont,Boulder,CO,Scotch Ale,2011,39
Bronze,Arctic Alchemy,Fegley’s Brew Works,Allentown,Santa Rosa,PA,Old Ale or Strong Ale,2011,35
Bronze,Johan the Barleywine,Sun King Brewing Co.,Indianapolis,Marion,IN,Barley Wine-Style Ale,2011,42
Gold,2010 Old Trainwreck Barleywine,Silver Moon Brewing,Bend,Tehama,OR,Aged Beer,2012,24
Gold,Le Freak,Green Flash Brewing Co.,San Diego,San Diego,CA,American-Belgo-Style Ale,2012,71
Gold,Point Oktoberfest,Stevens Point Brewery,Stevens Point,Portage,WI,American-Style Amber Lager,2012,45
Gold,Hopback Amber Ale,Tröegs Brewing Co.,Hershey,Lincoln,PA,American-Style Amber/Red Ale,2012,87
Gold,Wookey Jack,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,American-Style Black Ale,2012,61
Gold,Seizoen Bretta,Logsdon Farmhouse Ales,Hood River,Hood River,OR,American-Style Brett Ale,2012,29
Gold,Face Down Brown,Telluride Brewing Co.,Telluride,San Miguel,CO,American-Style Brown Ale,2012,61
Gold,Shiner Bock,Spoetzl Brewery,Shiner,Lavaca,TX,American-Style Dark Lager,2012,12
Gold,IPA,Tap It Brewing Co.,San Luis Obispo,San Luis Obispo,CA,American-Style India Pale Ale,2012,203
Gold,Pabst Blue Ribbon,Pabst Brewing Co.,Los Angeles,Los Angeles,CA,"American-Style Lager, Light Lager or Premium Lager",2012,51
Gold,Gold Country Pilsner,Auburn Alehouse,Auburn,Lee,CA,American-Style or International-Style Pilsener,2012,26
Gold,Brickstone APA,Brickstone Brewery,Bourbonnais,Kankakee,IL,American-Style Pale Ale,2012,109
Gold,Barrel Select - Gold,Captain Lawrence Brewing Co.,Elmsford,Westchester,NY,American-Style Sour Ale,2012,34
Gold,Henry Weinhard's Blue Boar Pale Ale,Blitz-Weinhard Brewing,Hood River,Hood River,OR,American-Style Specialty Lager or Cream Ale or Lager,2012,34
Gold,Order in the Port,Pizza Port San Clemente,San Clemente,Orange,CA,American-Style Stout,2012,43
Gold,Melvin,Thai Me Up Brewery,Jackson,Clarke,WY,American-Style Strong Pale Ale,2012,111
Gold,Wagon Box Wheat,Black Tooth Brewing Co.,Sheridan,Grant,WY,American-Style Wheat Beer,2012,29
Gold,MBC Wheat Ale,Montana Brewing Co.,Billings,Christian,MT,American-Style Wheat Beer with Yeast,2012,29
Gold,The Hammer,Rock Bottom King of Prussia,King of Prussia,Montgomery,PA,Baltic-Style Porter,2012,31
Gold,Johan the Barleywine,Sun King Brewing Co.,Indianapolis,Marion,IN,Barley Wine-Style Ale,2012,51
Gold,Saint's Devotion,The Lost Abbey,San Marcos,San Diego,CA,Belgian- and French-Style Ale,2012,68
Gold,Green Flash Trippel,Green Flash Brewing Co.,San Diego,San Diego,CA,Belgian-Style Abbey Ale,2012,86
Gold,Sour Reserve,Upland Brewing Co.,Bloomington,San Bernardino,IN,Belgian-Style Lambic or Sour Ale,2012,42
Gold,Deceit,Funkwerks,Fort Collins,Larimer,CO,Belgian-Style Strong Specialty Ale,2012,51
Gold,ZON,Boulevard Brewing Co.,Kansas City,Wyandotte,MO,Belgian-Style Witbier,2012,50
Gold,Butt Head Bock,Tommyknocker Brewery,Idaho Springs,Clear Creek,CO,Bock,2012,33
Gold,Hometown Blonde,New Glarus Brewing Co.,New Glarus,Green,WI,Bohemian-Style Pilsener,2012,53
Gold,Pluff Mud Porter,Holy City Brewing,North Charleston,Charleston,SC,Brown Porter,2012,44
Gold,Cocoa for Coconuts,Chicago Brewing Co.,Las Vegas,Clark,NV,Chocolate Beer,2012,39
Gold,Royal Scandal,Peticolas Brewing Co.,Dallas,Marion,TX,Classic English-Style Pale Ale,2012,29
Gold,Seaside Stout,Pizza Port Solana Beach,Solana Beach,San Diego,CA,Classic Irish-Style Dry Stout,2012,16
Gold,Smog City Groundwork Coffee Porter,Tustin Brewing Co.,Tustin,Orange,CA,Coffee Beer,2012,63
Gold,Move Back,The SandLot,Denver,Denver,CO,Dortmunder or German-Style Oktoberfest,2012,23
Gold,Sierra Blanca Nut Brown Ale,Sierra Blanca Brewing Co.,Moriarty,Torrance,NM,English-Style Brown Ale,2012,46
Gold,India Pale Ale,Goose Island Beer Co.,Chicago,Cook,IL,English-Style India Pale Ale,2012,54
Gold,Bristlecone,Uinta Brewing Co.,Salt Lake City,Salt Lake,UT,English-Style Mild Ale,2012,31
Gold,Cross of Gold,Revolution Brewing,Chicago,Cook,IL,English-Style Summer Ale,2012,38
Gold,Knight Ryder Munich Dunkel,Equinox Brewing Co.,Fort Collins,Larimer,CO,European-Style Dunkel,2012,20
Gold,Redrock Paardebloem,Redrock Brewing Co.,Salt Lake City,Salt Lake,UT,Experimental Beer,2012,62
Gold,Crystal Bitter Ale,No-Li Brewhouse,Spokane,Concordia,WA,Extra Special Bitter,2012,53
Gold,Whole Hog Pumpkin Ale,Stevens Point Brewery,Stevens Point,Portage,WI,Field Beer or Pumpkin Beer,2012,63
Gold,Starry Night Stout,Island Brewing Co.,Carpinteria,Santa Barbara,CA,Foreign-Style Stout,2012,25
Gold,Saison,Funkwerks,Fort Collins,Larimer,CO,French- and Belgian-Style Saison,2012,68
Gold,Estate Homegrown Ale,Sierra Nevada Brewing Co.,Chico,Butte,CA,Fresh Hop Ale,2012,34
Gold,Dry Dock Apricot Blonde,Dry Dock Brewing Co.,Aurora,Adams,CO,Fruit Beer,2012,58
Gold,Ruby Raspberry Wheat,Mad Anthony Brewing Co.,Fort Wayne,Allen,IN,Fruit Wheat Beer,2012,38
Gold,Balt Altbier,Union Craft Brewing Co.,Baltimore,Baltimore (city),MD,German-Style Altbier,2012,35
Gold,Uber Bock,Great Dane Pub & Brewing Co.,Madison,Madison,WI,German-Style Doppelbock or Eisbock,2012,19
