Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
Bronze,Asphalt Jungle,Bagby Beer Co.,Oceanside,San Diego,CA,Classic Irish-Style Dry Stout,2014,26
Bronze,Ascension,Community Beer Co.,Dallas,Marion,TX,Coffee Beer,2014,116
Bronze,Move Back,The Sandlot,Denver,Denver,CO,Dortmunder or German-Style Oktoberfest,2014,26
Bronze,Bonanza Brown Ale,Tenaya Creek Brewery,Las Vegas,Clark,NV,English-Style Brown Ale,2014,67
Bronze,Burton IPA,Iron Hill Brewery & Restaurant - Media,Media,Henderson,PA,English-Style India Pale Ale,2014,39
Bronze,S.S. Minnow Mild Ale,Dry Dock Brewing Co. - South Dock,Aurora,Adams,CO,English-Style Mild Ale,2014,40
Bronze,Surfer's Summer Ale,Pelican Brewing Co.,Tillamook,Tillamook,OR,English-Style Summer Ale,2014,37
Bronze,Dunkles,Gordon Biersch Brewing Co.,San Jose,Graham,CA,European-Style Dunkel,2014,23
Bronze,Black Project #1,Former Future Brewing Co.,Denver,Denver,CO,Experimental Beer,2014,79
Bronze,14° ESB,Bent Paddle Brewing Co.,Duluth,Gwinnett,MN,Extra Special Bitter,2014,71
Bronze,Elektrick Cukumbahh,Trinity Brewing Co.,Colorado Springs,El Paso,CO,Field Beer,2014,46
Bronze,San Quentin's Breakout Stout,Marin Brewing Co.,Larkspur,Marin,CA,Foreign-Style Stout,2014,32
Bronze,Saison-Brett,Boulevard Brewing Co.,Kansas City,Wyandotte,MO,French- and Belgian-Style Saison,2014,115
Bronze,Acequia IPA,Bosque Brewing Co.,Albuquerque,Bernalillo,NM,Fresh or Wet Hop Ale,2014,34
Bronze,Wasatch Apricot Hefeweizen,Wasatch Brewery,Park City,Lake,UT,Fruit Wheat Beer,2014,65
Bronze,Alt Bier,Devils Backbone Brewing Co. - Basecamp,Roseland,Sonoma,VA,German-Style Altbier,2014,33
Bronze,The Regulator,Rahr & Sons Brewing Co.,Fort Worth,Tarrant,TX,German-Style Doppelbock or Eisbock,2014,20
Bronze,Canoe Paddler,Leinenkugel Brewing Co.,Chippewa Falls,Chippewa,WI,German-Style Kölsch,2014,84
Bronze,Octoberfest,Abita Brewing Co.,Abita Springs,St. Tammany,LA,German-Style Märzen,2014,59
Bronze,Tiny Bomb,Wiseacre Brewing Co.,Memphis,Pickens,TN,German-Style Pilsener,2014,75
Bronze,Duck-Rabbit Schwarzbier,The Duck-Rabbit Craft Brewery,Farmville,Pitt,NC,German-Style Schwarzbier,2014,37
Bronze,Berliner Weiss,Fegley's Brew Works,Allentown,Santa Rosa,PA,German-Style Sour Ale,2014,80
Bronze,Saint Arnold Weedwacker,Saint Arnold Brewing Co.,Houston,Matanuska-Susitna,TX,German-Style Wheat Ale,2014,29
