id,Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
108,Silver,Pre-Pro,Coors Brewing Co.,Golden,Jefferson,CO,American Style Specialty Lager,2009,23
109,Silver,Vienna Lager,Devil’s Backbone Brewing Co.,Roseland,Sonoma,VA,Vienna Style Lager,2009,25
110,Silver,Reines Marzen,Dry Dock Brewing Co.,Aurora,Adams,CO,German Style Märzen,2009,45
111,Silver,Killian’s Red,Coors Brewing Co.,Golden,Jefferson,CO,American Style Amber Lager,2009,45
112,Silver,Gordon Biersch Dunkles,Gordon Biersch Brewery Restaurant Group,Broomfield,Broomfield,CO,European Style Dunkel,2009,21
113,Silver,Roadrunner Red Lager,Thunder Canyon Brewery,Tucson,Pima,AZ,American Style Dark Lager,2009,15
114,Silver,Schwarzbier,Chuckanut Brewery,Bellingham,Norfolk,WA,German Style Schwarzbier,2009,34
115,Silver,May Bock,Backcountry Brewery,Frisco,Summit,CO,Bock,2009,40
116,Silver,Samuel Adams Double Bock,Boston Beer Co.,Boston,Thomas,MA,German Style Doppelbock or Eisbock,2009,21
117,Silver,Danzig,Devil’s Backbone Brewing Co.,Roseland,Sonoma,VA,Baltic Style Porter,2009,16
118,Silver,Kiwanda Cream Ale,Pelican Pub & Brewery,Pacific City,Tillamook,OR,Golden or Blonde Ale,2009,43
119,Silver,Clearwater Kolsch,Ram Restaurant & Brewery (2),Tacoma,La Plata,WA,German Style Kölsch,2009,43
120,Silver,Surfer’s Summer Ale,Pelican Pub & Brewery,Pacific City,Tillamook,OR,English Style Summer Ale,2009,33
121,Silver,Mirror Pond Pale Ale,Deschutes Brewery,Bend,Tehama,OR,Classic English Style Pale Ale,2009,33
122,Silver,IPA,Goose Island Beer Co.,Chicago,Cook,IL,English Style India Pale Ale,2009,40
123,Silver,44 Pale Ale,Colorado Brewing Co./Draft House,Boulder,Boulder,CO,American Style Pale Ale,2009,108
124,Silver,Hopshot IPA,Beaver St. Brewery,Flagstaff,Coconino,AZ,American Style Strong Pale Ale,2009,70
125,Silver,Sculpin IPA,Ballast Point Brewing Co,San Diego,San Diego,CA,American Style India Pale Ale,2009,134
126,Silver,Denogginizer,Drake’s Brewing Co.,San Leandro,Alameda,CA,Imperial India Pale Ale,2009,77
127,Silver,Red Rock,Triple Rock Brewery and Alehouse,Berkeley,Alameda,CA,American Style Amber/Red Ale,2009,78
128,Silver,547 Haight - The Toronado San Francisco’s 20th Anniversary Imperial Red Ale,Pizza Port Carlsbad,Carlsbad,San Diego,CA,Imperial Red Ale,2009,36
129,Silver,AK Session,Snake River Brewing,Jackson,Clarke,WY,English Style Mild Ale,2009,17
130,Silver,Cutthroat Pale Ale,Uinta Brewing Co.,Salt Lake City,Salt Lake,UT,Ordinary or Special Bitter,2009,45
131,Silver,Motorboat ESB,SweetWater Brewing Co.,Atlanta,Columbia,GA,Extra Special Bitter or Strong Bitter,2009,47
132,Silver,Kilt Lifter,Four Peaks Brewing Co.,Tempe,Maricopa,AZ,Scottish Style Ale,2009,29
133,Silver,Colorado Boy Irish,Colorado Boy Pub & Brewery,Ridgway,Ouray,CO,Irish Style Red Ale,2009,32
134,Silver,Buster Nut Brown,Ska Brewing Co.,Durango,La Plata,CO,English Style Brown Ale,2009,41
135,Silver,Cheyenne Cañon Ale,Bristol Brewing Co.,Colorado Springs,El Paso,CO,American Style Brown Ale,2009,43
136,Silver,Boca Alt,Brewzzi West Palm,West Palm Beach,Palm Beach,FL,German Style Altbier,2009,35
137,Silver,NBB Love,New Belgium Brewing Co. Inc.,Fort Collins,Larimer,CO,German Style Sour Ale,2009,13
138,Silver,U-Boat Hefeweizen,Dry Dock Brewing Co.,Aurora,Adams,CO,South German Style Hefeweizen,2009,66
139,Silver,Weizenbock,The Covey Restaurant & Brewery,Fort Worth,Tarrant,TX,German Style Wheat Ale,2009,38
140,Silver,Belgian White,Big Dog’s Brewing Co.,Las Vegas,Clark,NV,Belgian Style Witbier,2009,53
141,Silver,Belgian Summer Ale,Great Adirondack Brewing Co.,Lake Placid,Highlands,NY,French  and Belgian Style Saison,2009,56
142,Silver,Demolition,Goose Island Beer Co.,Chicago,Cook,IL,Belgian and French Style Ale,2009,41
143,Silver,Red Rock,Big Rock Chop House & Brewery,Birmingham,Jefferson,MI,American Style Amber/Red Ale,2009,78
144,Silver,Tripel,Allagash Brewing Co.,Portland,Ashley,ME,Belgian Style Abbey Ale,2009,58
145,Silver,“100”,The Covey Restaurant & Brewery,Fort Worth,Tarrant,TX,Belgian Style Strong Specialty Ale,2009,70
146,Silver,Lazy Jake Porter,Long Valley Pub and Brewery,Long Valley,Morris,NJ,Brown Porter,2009,38
147,Silver,Mocha Porter,Rogue Ales,Newport,Jackson,OR,Robust Porter,2009,57
148,Silver,Three Steve Stout,Cambridge House Brew Pub,Torrington,Litchfield,CT,Classic Irish Style Dry Stout,2009,19
149,Silver,San Quentin’s Breakout Stout,Marin Brewing Co.,Larkspur,Marin,CA,Foreign Style Stout,2009,20
150,Silver,Troegs Dead Reckoning,Troegs Brewing Co.,Harrisburg,Poinsett,PA,American Style Stout,2009,22
151,Silver,Cream Stout,Redwood Brewing Co.,Flint,Genesee,MI,Sweet Stout,2009,27
152,Silver,Oatmeal Stout,Morgan Territory Brewing,Antioch,Contra Costa,CA,Oatmeal Stout,2009,31
153,Silver,Yeti Imperial Stout,Great Divide Brewing Co.,Denver,Denver,CO,Imperial Stout,2009,56
154,Silver,BagPiper’s Scotch Ale,Fegley’s Allentown & Bethlehem Brew Works,Allentown,Santa Rosa,PA,Scotch Ale,2009,37
155,Silver,Outback X,Bend Brewing Co,Bend,Tehama,OR,Old Ale or Strong Ale,2009,29
156,Silver,Treblehook,Redhook Ales - Woodinville,Woodinville,King,WA,Barley Wine Style Ale,2009,54
157,Bronze,Red Dog,Miller Brewing Co.,Golden,Jefferson,CO,American Style Cream Ale or Lager,2009,24
158,Bronze,Double Eagle Ale,Rockyard Brewing Co.,Castle Rock,Douglas,CO,American Style Wheat Beer,2009,19
159,Bronze,UFO Hefeweizen,Harpoon Brewery,Boston,Thomas,MA,American Style Wheat Beer With Yeast,2009,43
160,Bronze,Raspberry Tart,New Glarus Brewing Co,New Glarus,Green,WI,Fruit Beer or Field Beer,2009,104
161,Bronze,Rude Elf’s Reserve,Fegley’s Allentown & Bethlehem Brew Works,Allentown,Santa Rosa,PA,Herb and Spice or Chocolate Beer,2009,85
162,Bronze,Coffee Bender,Surly Brewing Co.,Brooklyn Center,Hennepin,MN,Coffee Flavored Beer,2009,45
163,Bronze,Drunken Angel,Rock Bottom Brewery - Chicago,Chicago,Cook,IL,Specialty Beer,2009,21
164,Bronze,Hoss,Great Divide Brewing Co.,Denver,Denver,CO,Rye Beer,2009,21
165,Bronze,Midas Touch,Dogfish Head Brewery,Milton,Sussex,DE,Specialty Honey Beer,2009,36
