,Medal,Beer Name,Brewery,City,State,Category,Year
115,Silver,Mystery Airship 4.0: Temple Cascara Golden Ale,New Helvetia Brewing Co.,Sacramento,CA,Coffee Beer,2018
116,Bronze,First Call,Modist Brewing Co.,Minneapolis,MN,Coffee Beer,2018
117,Gold,Speargun,Snake River Brewing Co.,Jackson,WY,Coffee Stout or Porter,2018
118,Silver,Breakfast Stout,Founders Brewing Co.,Grand Rapids,MI,Coffee Stout or Porter,2018
119,Bronze,Udder Chaos,RAM Restaurant & Brewery - Seattle,Seattle,WA,Coffee Stout or Porter,2018
120,Gold,Iron Horse Lager,Great American Restaurants - Sweetwater Tavern Centreville,Centreville,VA,Dark Lager,2018
121,Silver,The Bennie,Granite City Food & Brewery,Olathe,KS,Dark Lager,2018
122,Bronze,Nighthawk,Enegren Brewing Co.,Moorpark,CA,Dark Lager,2018
123,Gold,Grandpa Tractor,Barley Forge Brewing,Costa Mesa,CA,Dortmunder or German-Style Oktoberfest,2018
124,Silver,Freiheit Oktoberfest Wiesn,Wayfinder Beer,Portland,OR,Dortmunder or German-Style Oktoberfest,2018
125,Bronze,Figtoberfest,Figueroa Mountain Brewing - Westlake Village,Westlake Village,CA,Dortmunder or German-Style Oktoberfest,2018
126,Gold,Midwest Red IPA,Masthead Brewing Co.,Cleveland,OH,Double Hoppy Red Ale,2018
127,Silver,Roundhouse,Bell's Eccentric Cafe,Kalamazoo,MI,Double Hoppy Red Ale,2018
128,Bronze,Bad Polaroid,Werk Force Brewing Co.,Plainfield,IL,Double Hoppy Red Ale,2018
129,Gold,Get Up Offa That Brown,Golden Road Brewing - Los Angeles,Los Angeles,CA,English-Style Brown Ale,2018
130,Silver,My Brown Eyed Girl,Thornapple Brewing Co.,Grand Rapids,MI,English-Style Brown Ale,2018
131,Bronze,No. 3 Brown,The Freehouse,Minneapolis,MN,English-Style Brown Ale,2018
132,Gold,Castillo IPA,Alaro Craft Brewery,Sacramento,CA,English-Style India Pale Ale,2018
133,Silver,Silverspot IPA,Pelican Brewing Co.,Pacific City,OR,English-Style India Pale Ale,2018
134,Bronze,Hoppy Poppy IPA,Figueroa Mountain Brewing,Buellton,CA,English-Style India Pale Ale,2018
135,Gold,Drift,First Magnitude Brewing Co.,Gainesville,FL,English-Style Mild Ale,2018
136,Silver,Hold The Reins,Brink Brewing Co.,Cincinnati,OH,English-Style Mild Ale,2018
137,Bronze,Fools & Babies,Green Cheek Beer Co.,Orange,CA,English-Style Mild Ale,2018
138,Gold,Liquid AC,Karl Strauss Brewing Co. - La Jolla,La Jolla,CA,English-Style Summer Ale,2018
139,Silver,Provider,Steel Toe Brewing,St. Louis Park,MN,English-Style Summer Ale,2018
140,Bronze,Zest A Peel,Triple C Brewing,Charlotte,NC,English-Style Summer Ale,2018
141,Gold,Feral Brute,Firestone Walker Barrelworks,Buellton,CA,Experimental Beer,2018
142,Silver,Terroir Pinot Noir,Alesong Brewing & Blending,Eugene,OR,Experimental Beer,2018
143,Bronze,Chips & Salsa Cream Ale,Cogstone Brewing Co.,Colorado Springs,CO,Experimental Beer,2018
144,Gold,Dissent,Steel Toe Brewing,St. Louis Park,MN,Export Stout,2018
145,Silver,Malpais Stout,La Cumbre Brewing Co.,Albuquerque,NM,Export Stout,2018
146,Bronze,Shut Up & Adore Me,Morgan Territory Brewing,Tracy,CA,Export Stout,2018
147,Gold,Happy Amber,MadTree Brewing 2.0,Cincinnati,OH,Extra Special Bitter,2018
148,Silver,ESB,Hillman Beer,Asheville,NC,Extra Special Bitter,2018
149,Bronze,Bull Kelp ESB,San Juan Island Brewing Co.,Friday Harbor,WA,Extra Special Bitter,2018
150,Gold,Cool for the Summer,Lakes & Legends Brewing Co.,Minneapolis,MN,Field Beer,2018
151,Silver,Coco Piña Gose,Coastal Empire Beer Co.,Savannah,GA,Field Beer,2018
152,Bronze,Hawaiian Lion Toasted Coconut & Coffee Porter,Big Top Brewing Co.,Sarasota,FL,Field Beer,2018
153,Gold,Passionate Envy,10 Barrel Brewing Co.,Bend,OR,Fruit Wheat Beer,2018
154,Silver,Purple Line,Smylie Brothers Brewing Co.,Evanston,IL,Fruit Wheat Beer,2018
155,Bronze,Cherry Wheat,Sierra Blanca Brewing Co.,Moriarty,NM,Fruit Wheat Beer,2018
156,Gold,Pink Passionfruit Sour,BearWaters Brewing Co.,Canton,NC,Fruited American-Style Sour Ale,2018
157,Silver,Kirby Pucker No. 21,Eastlake Craft Brewery,Minneapolis,MN,Fruited American-Style Sour Ale,2018
158,Bronze,Flaming Fury,Captain Lawrence Brewing Co.,Elmsford,NY,Fruited American-Style Sour Ale,2018
159,Gold,Réserve Dorée de Pêche,Wooden Robot,Charlotte,NC,Fruited Wood- and Barrel-Aged Sour Beer,2018
160,Silver,Sour Cherry Sour,Hermitage Brewing Co.,San Jose,CA,Fruited Wood- and Barrel-Aged Sour Beer,2018
