,Medal,Beer Name,Brewery,City,State,Category,Year
2728,Silver,HE'BREW RIPA on RYE,Shmaltz Brewing Co.,San Francisco,CA,Wood- and Barrel-Aged Strong Beer,2010
2729,Bronze,Melange a Trois,Nebraska Brewing Co.,Papillion,NE,Wood- and Barrel-Aged Strong Beer,2010
2730,Gold,Bourbon Barrel Aged Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,NC,Wood- and Barrel-Aged Strong Stout,2010
2731,Silver,Remy,TAPS Fish House & Brewery,Brea,CA,Wood- and Barrel-Aged Strong Stout,2010
2732,Bronze,Bourbon County Brand Stout,Goose Island Beer Co.,Chicago,IL,Wood- and Barrel-Aged Strong Stout,2010
2733,Gold,Horn Dog Vintage 2007,Flying Dog Brewery,Frederick,MD,Aged Beer,2009
2734,Silver,St. Bob's Imperial Stout,IL Vicino Brewing Co.,Albuquerque,NM,Aged Beer,2009
2735,Bronze,Winterfest 2008,Utah Brewers Cooperative,Salt Lake City,UT,Aged Beer,2009
2736,Gold,Exit 4,Flying Fish Brewing Co.,Cherry Hill,NJ,American-Belgo-Style Ale,2009
2737,Silver,The Crow and The Sparrow,Rock Bottom Brewery - Chicago,Chicago,IL,American-Belgo-Style Ale,2009
2738,Bronze,Temperance,Mountain Sun Pub and Brewery,Boulder,CO,American-Belgo-Style Ale,2009
2739,Gold,Durango Colorfest,Durango Brewing Co.,Durango,CO,American-Style Amber Lager,2009
2740,Silver,Killian's Red,Coors Brewing Co.,Golden,CO,American-Style Amber Lager,2009
2741,Bronze,Michelob Marzen,Michelob Brewing Co.,Saint Louis,MO,American-Style Amber Lager,2009
2742,Gold,Organic Rise Up Red,Hopworks Urban Brewery,Portland,OR,American-Style Amber/Red Ale,2009
2743,Silver,Red Rock,Triple Rock Brewery and Alehouse,Berkeley,CA,American-Style Amber/Red Ale,2009
2744,Bronze,Hop Head Red,Green Flash Brewing Co.,Vista,CA,American-Style Amber/Red Ale,2009
2745,Gold,Dirty Helen Brown Ale,Barley Island Brewing Co.,Noblesville,IN,American-Style Brown Ale,2009
2746,Silver,Cheyenne Cañon Ale,Bristol Brewing Co.,Colorado Springs,CO,American-Style Brown Ale,2009
2747,Bronze,Great American Brown,Pizza Port - Carlsbad,Carlsbad,CA,American-Style Brown Ale,2009
2748,Gold,Milwaukee's Best,Miller Brewing Co.,Golden,CO,American-Style Cream Ale or Lager ,2009
2749,Silver,Hamm's,Miller Brewing Co.,Golden,CO,American-Style Cream Ale or Lager ,2009
2750,Bronze,Red Dog,Miller Brewing Co.,Golden,CO,American-Style Cream Ale or Lager ,2009
2751,Gold,Session Black Premium Lager,Full Sail Brewing at Riverplace,Portland,OR,American-Style Dark Lager,2009
2752,Silver,Roadrunner Red Lager,Thunder Canyon Brewery,Tucson,AZ,American-Style Dark Lager,2009
2753,Bronze,Saranac Black Forest,Saranac/F.X. Matt Brewing Co.,Utica,NY,American-Style Dark Lager,2009
2754,Gold,Union Jack,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style India Pale Ale,2009
2755,Silver,Sculpin IPA,Ballast Point Brewing Co.,San Diego,CA,American-Style India Pale Ale,2009
2756,Bronze,Blind Pig IPA,Russian River Brewing Co.,Santa Rosa,CA,American-Style India Pale Ale,2009
2757,Gold,Coors Banquet,Coors Brewing Co.,Golden,CO,American-Style Lager or Premium Lager,2009
2758,Silver,Miller High Life,Miller Brewing Co.,Golden,CO,American-Style Lager or Premium Lager,2009
2759,Bronze,Totally Naked,New Glarus Brewing Co.,New Glarus,WI,American-Style Lager or Premium Lager,2009
2760,Gold,Budweiser Select,"Anheuser-Busch, Inc",Saint Louis,MO,American-Style Light Lager,2009
2761,Silver,Keystone Light,Coors Brewing Co.,Golden,CO,American-Style Light Lager,2009
2762,Bronze,Michelob Ultra,"Anheuser-Busch, Inc",Saint Louis,MO,American-Style Light Lager,2009
2763,Gold,Sweetgrass IPA,Grand Teton Brewing Co.,Victor,ID,American-Style Pale Ale,2009
2764,Silver,44 Pale Ale,Colorado Brewing Co./Draft House,Boulder,CO,American-Style Pale Ale,2009
2765,Bronze,Tumble Off Pale Ale,Barley Brown's Brew Pub,Baker City,OR,American-Style Pale Ale,2009
2766,Gold,Rosso e Marrone,Captain Lawrence Brewing Co.,Pleasantville,NY,American-Style Sour Ale,2009
2767,Silver,Raspberry Torte,Iron Hill Brewery & Restaurant,Wilmington,DE,American-Style Sour Ale,2009
2768,Bronze,Diamond Kings '09,Brugge Brasserie,Indianapolis,IN,American-Style Sour Ale,2009
2769,Gold,Keystone Ice,Coors Brewing Co.,Golden,CO,American-Style Specialty Lager,2009
2770,Silver,Pre-Pro,Coors Brewing Co.,Golden,CO,American-Style Specialty Lager,2009
2771,Bronze,Steel Reserve,Miller Brewing Co.,Golden,CO,American-Style Specialty Lager,2009
2772,Gold,Liberty Stout,Gella's Diner and Lb. Brewing Co.,Hays,KS,American-Style Stout,2009
2773,Silver,Troegs Dead Reckoning,Tröegs Brewing Co.,Harrisburg,PA,American-Style Stout,2009
2774,Bronze,Stonefly Oatmeal Stout,Third Street AleWorks,Santa Rosa,CA,American-Style Stout,2009
2775,Gold,Racer 5 IPA,Bear Republic Factory Five,Cloverdale,CA,American-Style Strong Pale Ale,2009
2776,Silver,Hopshot IPA,Beaver St. Brewery,Flagstaff,AZ,American-Style Strong Pale Ale,2009
2777,Bronze,IPA Nectar,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Strong Pale Ale,2009
2778,Gold,County Seat Wheat,Blind Tiger Brewery & Restaurant,Topeka,KS,American-Style Wheat Beer,2009
2779,Silver,Shredders Wheat,Barley Brown's Brew Pub,Baker City,OR,American-Style Wheat Beer,2009
2780,Bronze,Double Eagle Ale,Rockyard Brewing Co.,Castle Rock,CO,American-Style Wheat Beer,2009
2781,Gold,Haywire Hefeweizen,Pyramid Breweries Inc,Seattle,WA,American-Style Wheat Beer With Yeast,2009
2782,Silver,Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,American-Style Wheat Beer With Yeast,2009
2783,Bronze,UFO Hefeweizen,Harpoon Brewery,Boston,MA,American-Style Wheat Beer With Yeast,2009
2784,Gold,Duck-Rabbit Baltic Porter,Duck-Rabbit Craft Brewery Inc (The),Farmville,NC,Baltic-Style Porter,2009
2785,Silver,Danzig,Devils Backbone Brewing Co.,Roseland,VA,Baltic-Style Porter,2009
2786,Bronze,Veles Baltic Porter,FireHouse Grill & Brewery,Sunnyvale,CA,Baltic-Style Porter,2009
2787,Gold,Old Inventory Barley Wine,Valley Brewing Co.,Stockton,CA,Barley Wine Style Ale,2009
2788,Silver,Treblehook,Redhook Ales - Woodinville,Woodinville,WA,Barley Wine Style Ale,2009
2789,Bronze,Old Ruffian Barley Wine,Great Divide Brewing Co.,Denver,CO,Barley Wine Style Ale,2009
2790,Gold,Carnevale,Lost Abbey (The),San Marcos,CA,Belgian  and French-Style Ale,2009
2791,Silver,Demolition,Goose Island Beer Co.,Chicago,IL,Belgian  and French-Style Ale,2009
2792,Bronze,Collaborative Evil-Sacramento,Sacramento Brewing Co.,Sacramento,CA,Belgian  and French-Style Ale,2009
2793,Gold,Revelations,Pizza Port - Carlsbad,Carlsbad,CA,Belgian Style Strong Specialty Ale,2009
2794,Silver,"""100""",Covey Restaurant & Brewery (The),Fort Worth,TX,Belgian Style Strong Specialty Ale,2009
2795,Bronze,Father Damien Abbey Ale,Maui Brewing Co.,Lahaina,HI,Belgian Style Strong Specialty Ale,2009
2796,Gold,Signature Dubbel,Choc Beer Co.,Krebs,OK,Belgian-Style Abbey Ale,2009
2797,Silver,Tripel,Allagash Brewing Co.,Portland,ME,Belgian-Style Abbey Ale,2009
2798,Bronze,Deschutes Brewery Quad,Deschutes Brewery,Bend,OR,Belgian-Style Abbey Ale,2009
2799,Gold,Duck Duck Gooze,Lost Abbey (The),San Marcos,CA,Belgian-Style Lambic or Sour Ale,2009
2800,Silver,Red Rock,Big Rock Chop House & Brewery,Birmingham,MI,Belgian-Style Lambic or Sour Ale,2009
2801,Bronze,Supplication,Russian River Brewing Co.,Santa Rosa,CA,Belgian-Style Lambic or Sour Ale,2009
2802,Gold,ZON,Boulevard Brewing Co.,Kansas City,MO,Belgian-Style Witbier,2009
2803,Silver,Belgian White,Big Dog's Brewing Co.,Las Vegas,NV,Belgian-Style Witbier,2009
2804,Bronze,Wits End,Great American Restaurants,Centreville,VA,Belgian-Style Witbier,2009
2805,Gold,Troegenator,Tröegs Brewing Co.,Harrisburg,PA,Bock,2009
2806,Silver,May Bock,Backcountry Brewery,Frisco,CO,Bock,2009
2807,Bronze,Fornicator,Piece Brewery,Chicago,IL,Bock,2009
2808,Gold,Vermont Lager,Otter Creek Brewing/Wolaver's Organic Ales,Middlebury,VT,Bohemian Style Pilsener,2009
2809,Silver,Gordon Biersch Czech Pilsner,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,Bohemian Style Pilsener,2009
2810,Bronze,Bell's Lager Beer,"Bell's Brewery, Inc",Galesburg,MI,Bohemian Style Pilsener,2009
2811,Gold,St. Charles Porter,Blackstone Brewing Co.,Nashville,TN,Brown Porter,2009
2812,Silver,Lazy Jake Porter,Long Valley Pub and Brewery,Long Valley,NJ,Brown Porter,2009
2813,Bronze,Black Butte Porter,Deschutes Brewery,Bend,OR,Brown Porter,2009
2814,Gold,Mactarnahan's Amber,Pyramid Breweries Inc,Seattle,WA,Classic English Style Pale Ale,2009
2815,Silver,Mirror Pond Pale Ale,Deschutes Brewery,Bend,OR,Classic English Style Pale Ale,2009
2816,Bronze,Hopfish,Flying Fish Brewing Co.,Cherry Hill,NJ,Classic English Style Pale Ale,2009
2817,Gold,Dark Starr Stout,Starr Hill Brewing Co.,Crozet,VA,Classic Irish-Style Dry Stout ,2009
2818,Silver,Three Steve Stout,Cambridge House Brewpub (The),Torrington,CT,Classic Irish-Style Dry Stout ,2009
2819,Bronze,Pub Dog Black Dog Stout,DOG Brewing Co.,Westminster,MD,Classic Irish-Style Dry Stout ,2009
2820,Gold,Dude! Where's My Vespa?,Rock Bottom Brewery - Arlington,Arlington,VA,Coffee Flavored Beer,2009
2821,Silver,Overcast Espresso Stout,Oakshire Brewing,Eugene,OR,Coffee Flavored Beer,2009
2822,Bronze,Coffee Bender,Surly Brewing Co.,Brooklyn Center,MN,Coffee Flavored Beer,2009
2823,Gold,Move Back,SandLot (The),Denver,CO,Dortmunder or German-Style Oktoberfest,2009
2824,Silver,Greenside Up,SandLot (The),Denver,CO,Dortmunder or German-Style Oktoberfest,2009
2825,Bronze,Capital Bavarian Lager,Capital Brewery Co. Inc,Middleton,WI,Dortmunder or German-Style Oktoberfest,2009
2826,Gold,Longboard Brown,Rock Bottom Brewery - La Jolla,La Jolla,CA,English Style Brown Ale,2009
2827,Silver,Buster Nut Brown,Ska Brewing Co.,Durango,CO,English Style Brown Ale,2009
2828,Bronze,Good Grief Brown,Pizza Port - Carlsbad,Carlsbad,CA,English Style Brown Ale,2009
2829,Gold,Sara's Ruby Mild,Magnolia Gastropub & Brewery,San Francisco,CA,English Style Mild Ale,2009
2830,Silver,AK Session,Snake River Brewing Co.,Jackson,WY,English Style Mild Ale,2009
2831,Bronze,Coyote Moon,Snipes Mountain Brewing Co.,Sunnyside,WA,English Style Mild Ale,2009
2832,Gold,Beech Street Bitter,Pizza Port - Carlsbad,Carlsbad,CA,English-Style India Pale Ale,2009
2833,Silver,IPA,Goose Island Beer Co.,Chicago,IL,English-Style India Pale Ale,2009
2834,Bronze,Brewer's Alley India Pale Ale,Brewer's Alley Restaurant and Brewery,Frederick,MD,English-Style India Pale Ale,2009
2835,Gold,Light Rock Ale,RJ Rockers Brewing Co.,Spartanburg,SC,English-Style Summer Ale,2009
2836,Silver,Surfer's Summer Ale,Pelican Pub & Brewery,Pacific City,OR,English-Style Summer Ale,2009
2837,Bronze,True Blonde Ale,Ska Brewing Co.,Durango,CO,English-Style Summer Ale,2009
2838,Gold,Dunkel,Chuckanut Brewery,Bellingham,WA,European Style Dunkel,2009
2839,Silver,Gordon Biersch Dunkles,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,European Style Dunkel,2009
2840,Bronze,Dunkel,AC Golden Brewing Co.,Golden,CO,European Style Dunkel,2009
2841,Gold,TPS Report,Trinity Brewing Co.,Colorado Springs,CO,Experimental Beer,2009
2842,Silver,Bloody Beer,Short's Brewing Co.,Bellaire,MI,Experimental Beer,2009
2843,Bronze,Brabant,Avery Brewing Co.,Boulder,CO,Experimental Beer,2009
2844,Gold,ESB,Redhook Ales - Woodinville,Woodinville,WA,Extra Special Bitter or Strong Bitter,2009
2845,Silver,Motorboat ESB,Sweetwater Brewing Co.,Atlanta,GA,Extra Special Bitter or Strong Bitter,2009
2846,Bronze,Colorado Boy IPA,Colorado Boy Pub & Brewery,Ridgway,CO,Extra Special Bitter or Strong Bitter,2009
2847,Gold,Space Stout,Laurelwood Brewing Co.,Portland,OR,Foreign Style Stout,2009
2848,Silver,San Quentin's Breakout Stout,Marin Brewing Co.,Larkspur,CA,Foreign Style Stout,2009
2849,Bronze,Whiteface Black Diamond Stout,Great Adirondack Brewing Co.,Lake Placid,NY,Foreign Style Stout,2009
2850,Gold,Saison Vautour,McKenzie Brew House,Glen Mills,PA,French- and Belgian Style Saison,2009
2851,Silver,Belgian Summer Ale,Great Adirondack Brewing Co.,Lake Placid,NY,French- and Belgian Style Saison,2009
2852,Bronze,Saison Du Bastone,Bastone Brewery,Royal Oak,MI,French- and Belgian Style Saison,2009
2853,Gold,Raspberry Creek,Breakwater Brewing Co.,Oceanside,CA,Fruit Beer or Field Beer,2009
2854,Silver,Magnolia's Peach,BJ's Restaurant & Brewery,Huntington Beach,CA,Fruit Beer or Field Beer,2009
2855,Bronze,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Fruit Beer or Field Beer,2009
2856,Gold,Bismarck Altbier,Dry Dock Brewing Co.,Aurora,CO,German Style Altbier,2009
2857,Silver,Boca Alt,Brewzzi West Palm,West Palm Beach,FL,German Style Altbier,2009
2858,Bronze,Gordon Biersch Alt Bier,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,German Style Altbier,2009
2859,Gold,The Kaiser,Avery Brewing Co.,Boulder,CO,German Style Doppelbock or Eisbock,2009
2860,Silver,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,German Style Doppelbock or Eisbock,2009
2861,Bronze,Carbonator,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,German Style Doppelbock or Eisbock,2009
2862,Gold,Kolsch,Sierra Nevada Brewing Co.,Chico,CA,German Style Kölsch,2009
2863,Silver,Clearwater Kolsch,Ram Restaurant & Brewery (2),Tacoma,WA,German Style Kölsch,2009
2864,Bronze,Stoudts Kolsch,Stoudt's Brewing Co.,Adamstown,PA,German Style Kölsch,2009
2865,Gold,Dogtoberfest,Flying Dog Brewery,Frederick,MD,German Style Märzen,2009
2866,Silver,Reines Marzen,Dry Dock Brewing Co.,Aurora,CO,German Style Märzen,2009
2867,Bronze,Rocktoberfest,Rock Bottom Brewery - Long Beach,Long Beach,CA,German Style Märzen,2009
2868,Gold,Schwarzbier,Iron Hill Brewery & Restaurant,Wilmington,DE,German Style Schwarzbier,2009
2869,Silver,Schwarzbier,Chuckanut Brewery,Bellingham,WA,German Style Schwarzbier,2009
2870,Bronze,Dark Helmet,Titletown Brewing Co.,Green Bay,WI,German Style Schwarzbier,2009
2871,Gold,106 Pilsner,Rock Bottom Brewery - Milwaukee,Milwaukee,WI,German-Style Pilsener,2009
2872,Silver,Pilsner,Chuckanut Brewery,Bellingham,WA,German-Style Pilsener,2009
2873,Bronze,Troegs Sunshine Pils,Tröegs Brewing Co.,Harrisburg,PA,German-Style Pilsener,2009
2874,Gold,Berliner Weisse,Southampton Publick House,Southampton,NY,German-Style Sour Ale,2009
2875,Silver,NBB Love,New Belgium Brewing Co.,Fort Collins,CO,German-Style Sour Ale,2009
2876,Bronze,Bad Kitty,Brugge Brasserie,Indianapolis,IN,German-Style Sour Ale,2009
2877,Gold,Hefeweizen,Triumph Brewing Co. of New Hope,New Hope,PA,German-Style Wheat Ale,2009
2878,Silver,Weizenbock,Covey Restaurant & Brewery (The),Fort Worth,TX,German-Style Wheat Ale,2009
2879,Bronze,Upslope Dunkel Weizen,Upslope Brewing Co.,Boulder,CO,German-Style Wheat Ale,2009
2880,Gold,Celia Framboise,Alchemist (The),Waterbury,VT,Gluten Free Beer,2009
2881,Silver,Redbridge,"Anheuser-Busch, Inc",Saint Louis,MO,Gluten Free Beer,2009
2882,Bronze,Celia IPA,Alchemist (The),Waterbury,VT,Gluten Free Beer,2009
2883,Gold,Golden Spike,Tustin Brewing Co.,Tustin,CA,Golden or Blonde Ale,2009
2884,Silver,Kiwanda Cream Ale,Pelican Pub & Brewery,Pacific City,OR,Golden or Blonde Ale,2009
2885,Bronze,Red Rock Blonde Ale,Red Rock Brewing Co.,Salt Lake City,UT,Golden or Blonde Ale,2009
2886,Gold,Stillwater Rye,Montana Brewing Co.,Billings,MT,Herb and Spice or Chocolate Beer ,2009
2887,Silver,Imperial Chocolate Stout,Rogue Ales,Newport,OR,Herb and Spice or Chocolate Beer ,2009
2888,Bronze,Rude Elf's Reserve,Fegley's Allentown & Bethlehem Brew Works,Allentown,PA,Herb and Spice or Chocolate Beer ,2009
2889,Gold,Organic Ace of Spades Imperial IPA,Hopworks Urban Brewery,Portland,OR,Imperial India Pale Ale,2009
2890,Silver,Denogginizer,Drake's Brewing Co.,San Leandro,CA,Imperial India Pale Ale,2009
2891,Bronze,Hip Hop Double IPA,Hollister Brewing Co.,Goleta,CA,Imperial India Pale Ale,2009
2892,Gold,Shark Attack,Pizza Port - Solana Beach,Solana Beach,CA,Imperial Red Ale,2009
2893,Silver,547 Haight - The Toronado San Francisco's 20th Anniversary Imperial Red Ale,Pizza Port - Carlsbad,Carlsbad,CA,Imperial Red Ale,2009
2894,Bronze,Organic Deranger Imperial Red,Laurelwood Brewing Co.,Portland,OR,Imperial Red Ale,2009
2895,Gold,Gonzo Imperial Porter,Flying Dog Brewery,Frederick,MD,Imperial Stout,2009
2896,Silver,Yeti Imperial Stout,Great Divide Brewing Co.,Denver,CO,Imperial Stout,2009
2897,Bronze,Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,NC,Imperial Stout,2009
2898,Gold,Gold Leaf Lager,Devils Backbone Brewing Co.,Roseland,VA,International-Style Pilsener,2009
2899,Silver,OE800,Miller Brewing Co.,Golden,CO,International-Style Pilsener,2009
2900,Bronze,Gold Mountain Pilsner,Silver City Brewery,Silverdale,WA,International-Style Pilsener,2009
2901,Gold,Ridgetop Red,Silver City Brewery,Silverdale,WA,Irish-Style Red Ale,2009
2902,Silver,Colorado Boy Irish,Colorado Boy Pub & Brewery,Ridgway,CO,Irish-Style Red Ale,2009
2903,Bronze,Saranac Irish Red Ale,Saranac/F.X. Matt Brewing Co.,Utica,NY,Irish-Style Red Ale,2009
2904,Gold,Hell In Keller,Uncle Billy's Brew & Que,Austin,TX,Kellerbier/Zwickelbier,2009
2905,Silver,Natural Born Keller,Devils Backbone Brewing Co.,Roseland,VA,Kellerbier/Zwickelbier,2009
2906,Bronze,Red Rock Organic Zwickel Bier,Red Rock Brewing Co.,Salt Lake City,UT,Kellerbier/Zwickelbier,2009
2907,Gold,Saint Arnold Summer Pils,Saint Arnold Brewing Co.,Houston,TX,Munich Style Helles,2009
2908,Silver,Where the Helles Bill?,SandLot (The),Denver,CO,Munich Style Helles,2009
2909,Bronze,Gordon Biersch Golden Export,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,Munich Style Helles,2009
2910,Gold,Ernest's Silky Smoove,Pizza Port - San Clemente,San Clemente,CA,Oatmeal Stout,2009
2911,Silver,Oatmeal Stout,Morgan Territory Brewing,Antioch,CA,Oatmeal Stout,2009
2912,Bronze,Sleeping Dog Stout,Chama River Brewing Co.,Albuquerque,NM,Oatmeal Stout,2009
2913,Gold,Old Scrooge '98,Silver City Brewery,Silverdale,WA,Old Ale or Strong Ale,2009
2914,Silver,Outback X,Bend Brewing Co.,Bend,OR,Old Ale or Strong Ale,2009
2915,Bronze,4th Dementia Old Ale,Kuhnhenn Brewing Co.,Warren,MI,Old Ale or Strong Ale,2009
2916,Gold,Big Rapid Red,Beaver St. Brewery,Flagstaff,AZ,Ordinary or Special Bitter,2009
2917,Silver,Cutthroat Pale Ale,Uinta Brewing Co.,Salt Lake City,UT,Ordinary or Special Bitter,2009
2918,Bronze,Numbers Ale,Red Brick-Atlanta Brewing Co.,Atlanta,GA,Ordinary or Special Bitter,2009
2919,Gold,Cardiff,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Other Strong Beer ,2009
2920,Silver,Winter Wheatwine,Rubicon Brewing Co.,Sacramento,CA,Other Strong Beer ,2009
2921,Bronze,FiftyFifty Imperial Stout,FiftyFifty Brewing Co.,Truckee,CA,Other Strong Beer ,2009
2922,Gold,W '10,Widmer Brothers Brewing Co.,Portland,OR,Out of Category – Traditionally Brewed Beer,2009
2923,Silver,Brooklyner-Schneider Hopfen-Weisse,Brooklyn Brewery,Brooklyn,NY,Out of Category – Traditionally Brewed Beer,2009
2924,Bronze,S1NIST0R Black Ale,10 Barrel Brewing Co.,Bend,OR,Out of Category – Traditionally Brewed Beer,2009
2925,Gold,Herbal Joe's Columbarillo IPA,Chama River Brewing Co.,Albuquerque,NM,Pro-Am Competition,2009
2926,Silver,Alright Already Amber,O'Fallon Brewery,O'Fallon,MO,Pro-Am Competition,2009
2927,Bronze,Time of the Season,Upslope Brewing Co.,Boulder,CO,Pro-Am Competition,2009
2928,Gold,Pt. Reyes Porter,Marin Brewing Co.,Larkspur,CA,Robust Porter,2009
2929,Silver,Mocha Porter,Rogue Ales,Newport,OR,Robust Porter,2009
2930,Bronze,Pirate's Porter,Sullivan's Black Forest Brew Haus & Grill,Frankenmuth,MI,Robust Porter,2009
2931,Gold,Crazy Jackass Ale,Great American Restaurants,Centreville,VA,Rye Beer,2009
2932,Silver,Blue Point Brewing Co. RastafaRye,Blue Point Brewing Co.,Patchogue,NY,Rye Beer,2009
2933,Bronze,Hoss,Great Divide Brewing Co.,Denver,CO,Rye Beer,2009
2934,Gold,Reed's Wee Heavy,Pizza Port - Carlsbad,Carlsbad,CA,Scotch Ale,2009
2935,Silver,BagPiper's Scotch Ale,Fegley's Allentown & Bethlehem Brew Works,Allentown,PA,Scotch Ale,2009
2936,Bronze,MacPelican's Wee Heavy Ale,Pelican Pub & Brewery,Pacific City,OR,Scotch Ale,2009
2937,Gold,Railbender Ale,Erie Brewing Co.,Erie,PA,Scottish Style Ale,2009
2938,Silver,Kilt Lifter,Four Peaks Brewing Co.,Tempe,AZ,Scottish Style Ale,2009
2939,Bronze,Cold Smoke Scotch Ale,Kettlehouse Brewing Co.,Missoula,MT,Scottish Style Ale,2009
2940,Gold,KinderPils,Triumph Brewing Co. of Philadelphia,Philadelphia,PA,Session Beer,2009
2941,Silver,Firestone Xtra Pale,Firestone Walker Brewing Co.,Paso Robles,CA,Session Beer,2009
2942,Bronze,Bam Biere,Jolly Pumpkin Artisan Ales,Dexter,MI,Session Beer,2009
2943,Gold,Smokejumper,Left Hand Brewing Co.,Longmont,CO,Smoked Beer,2009
2944,Silver,Up In Smoke,Fat Head's Brewery & Saloon,North Olmsted,OH,Smoked Beer,2009
2945,Bronze,Diesel Imperial Smoked Porter,21st Amendment Brewery,San Francisco,CA,Smoked Beer,2009
2946,Gold,Top Heavy Hefeweizen,Piece Brewery,Chicago,IL,South German Style Hefeweizen,2009
2947,Silver,U-Boat Hefeweizen,Dry Dock Brewing Co.,Aurora,CO,South German Style Hefeweizen,2009
2948,Bronze,Wiezen,Redhook Ales - Portsmouth,Portsmouth,NH,South German Style Hefeweizen,2009
2949,Gold,Chateau Jiahu,Dogfish Head Craft Brewery,Milton,DE,Specialty Beer,2009
2950,Silver,Palo Santo Marron,Dogfish Head Craft Brewery,Milton,DE,Specialty Beer,2009
2951,Bronze,Drunken Angel,Rock Bottom Brewery - Chicago,Chicago,IL,Specialty Beer,2009
2952,Gold,Countdown Honey Brown,Thunder Canyon Brewery,Tucson,AZ,Specialty Honey Beer,2009
2953,Silver,George's Fault,Nodding Head Brewing Co.,Philadelphia,PA,Specialty Honey Beer,2009
2954,Bronze,Midas Touch,Dogfish Head Craft Brewery,Milton,DE,Specialty Honey Beer,2009
2955,Gold,Cow Stout,Pizza Port - Carlsbad,Carlsbad,CA,Sweet Stout,2009
2956,Silver,Cream Stout,Redwood Brewing Co.,Flint,MI,Sweet Stout,2009
2957,Bronze,Steel Toe Stout,Ska Brewing Co.,Durango,CO,Sweet Stout,2009
2958,Gold,Vienna Lager,Chuckanut Brewery,Bellingham,WA,Vienna Style Lager,2009
2959,Silver,Vienna Lager,Devils Backbone Brewing Co.,Roseland,VA,Vienna Style Lager,2009
2960,Bronze,Clipper City Marzhon Vienna Lager,Clipper City Brewing Co.,Baltimore,MD,Vienna Style Lager,2009
2961,Gold,Humidor Series IPA,Cigar City Brewing,Tampa,FL,Wood- and Barrel-Aged Beer,2009
2962,Silver,Red Woody,Goose Island Beer Co.,Chicago,IL,Wood- and Barrel-Aged Beer,2009
2963,Bronze,Red Brick Anniversary Ale 15,Red Brick-Atlanta Brewing Co.,Atlanta,GA,Wood- and Barrel-Aged Beer,2009
2964,Gold,Bourbonic Plague,Cascade Brewery Co. LLC,Portland,OR,Wood- and Barrel-Aged Sour Beer,2009
2965,Silver,Vlad the Imp Aler,Cascade Brewery Co. LLC,Portland,OR,Wood- and Barrel-Aged Sour Beer,2009
2966,Bronze,Phruit Phunk,Nodding Head Brewing Co.,Philadelphia,PA,Wood- and Barrel-Aged Sour Beer,2009
2967,Gold,Cereal Killer Barleywine,Arcadia Brewing Co.,Battle Creek,MI,Wood- and Barrel-Aged Strong Beer,2009
2968,Silver,Barrel Aged Gonzo,Flying Dog Brewery,Frederick,MD,Wood- and Barrel-Aged Strong Beer,2009
2969,Bronze,Duck-Rabbit Barrel Aged Baltic Porter,Duck-Rabbit Craft Brewery Inc (The),Farmville,NC,Wood- and Barrel-Aged Strong Beer,2009
2970,Gold,Alaskan Smoked Porter 2006,Alaskan Brewing Co.,Juneau,AK,Aged Beer ,2008
2971,Silver,Vintage Speedway Stout,AleSmith Brewing Co.,San Diego,CA,Aged Beer ,2008
2972,Bronze,Samuel Adams Utopias 2003,Boston Beer Co.,Boston,MA,Aged Beer ,2008
2973,Gold,Coors Light,MillerCoors,Milwaukee,WI,America-Style Light Lager,2008
2974,Silver,Old Milwaukee Light,Pabst Brewing Co.,Woodridge,IL,America-Style Light Lager,2008
2975,Bronze,Keystone Light,MillerCoors,Milwaukee,WI,America-Style Light Lager,2008
2976,Gold,Xtra Gold,Captain Lawrence Brewing Co.,Pleasantville,NY,American-Belgo Style Ale,2008
2977,Silver,Brush Fire Ale,Pump House Restaurant & Brewery,Longmont,CO,American-Belgo Style Ale,2008
2978,Bronze,Big Wednesday,Pizza Port - Solana Beach,Solana Beach,CA,American-Belgo Style Ale,2008
2979,Gold,BJ's Oktoberfest,BJ's Restaurant & Brewery - Chandler,Huntington Beach,CA,American-Style Amber Lager,2008
2980,Silver,Old Scratch Amber Lager,Flying Dog Brewery,Frederick,MD,American-Style Amber Lager,2008
2981,Bronze,El Oso,Bear Republic Brewing Co.,Healdsburg,CA,American-Style Amber Lager,2008
2982,Gold,Dry Hopped Red,Rogue Ales,Portland,OR,American-Style Amber/Red Ale,2008
2983,Silver,CascaZilla,Ithaca Beer Co.,Ithaca,NY,American-Style Amber/Red Ale,2008
2984,Bronze,American Amber,Rogue Ales,Portland,OR,American-Style Amber/Red Ale,2008
